IntName,Name,Epithet,HP,Atk,Spd,Def,Res,Movement,Weapon Type,Game,Secondary Game,HP Grow,Atk Grow,Spd Grow,Def Grow,Res Grow,DFlowerLimit,BVID,HeroType,HasResp,RefreshType,BaseWeapon,BaseAssist,BaseSpecial,BaseA,BaseB,BaseC,BaseX
NY!Alfonse,Alfonse,Askran Duo,41,38,17,35,30,0,BTome,0,-1,50,70,25,70,50,30,39,HERO,FALSE,0,Imbued Koma,,Open the Future,Close Counter,Special Spiral 4,Def/Res Oath 3,
Alfonse,Alfonse,Prince of Askr,43,35,25,32,22,0,Sword,0,-1,55,60,45,55,40,35,23,HERO,FALSE,0,Fólkvangr,,Sol,Death Blow 3,,Spur Atk 3,
SP!Alfonse,Alfonse,Spring Prince,41,35,33,30,18,1,Axe,0,-1,50,60,60,55,30,30,233,HERO,FALSE,0,Giant Spoon+,,Noontime,Sturdy Blow 2,,Def Smoke 3,
V!Alfonse,Alfonse,Uplifting Love,43,38,25,37,31,3,GTome,0,-1,50,70,45,65,50,25,13,HERO,FALSE,0,Amity Blooms+,,Moonbow,Def/Res Form 3,Bold Fighter 3,,
B!Alfonse,Alfonse,Heir to Openness,41,46,16,47,40,1,Axe,0,-1,50,90,30,75,70,5,-1,HERO,FALSE,0,Majestic Glitnir,,Makings of a King,Fortifications,Reopening,Breath of Life 4,
Alfred,Alfred,Floral Protector,40,45,25,43,27,1,Lance,17,-1,50,70,50,75,50,15,54,REARM,FALSE,0,Arcane Qiang,,Bonfire,Self-Improver,Flow N Trace 3,Cross Spur Atk,
Alm,Alm,Hero of Prophecy,45,33,30,28,22,0,Sword,15,-1,55,55,55,50,40,35,205,HERO,TRUE,0,A!Falchion,,Draconic Aura,Attack +3,Windsweep 3,,
B!Alm,Alm,Imperial Ascent,42,38,35,37,20,0,Sword,15,-1,55,70,60,60,35,30,109,HERO,FALSE,0,Dracofalchion,,Draconic Aura,Scendscale,Chill Def 3,Threat. Atk/Spd 3,
V!Alm,Alm,Lovebird Duo,40,35,40,32,25,0,Axe,15,-1,50,55,70,60,45,30,157,HERO,FALSE,0,Scepter of Love,,Lunar Flash,Bonus Doubler 3,Lull Atk/Spd 3,Rouse Spd/Res 3,
L!Alm,Alm,Saint-King,40,37,37,26,22,0,CBow,15,-1,50,60,60,50,45,30,169,LEGEND,FALSE,0,Luna Arc,,Lunar Flash II,Darting Blow 3,Null Follow-Up 3,Time's Pulse 3,
Altena,Altena,Luminous Rider,45,37,25,39,20,2,Lance,4,-1,60,65,45,70,30,30,189,HERO,FALSE,0,Earthly Gáe Bolg,,Reprisal,Sturdy Stance 2,Brash Assault 3,,
Altina,Altina,Dawn's Trueblade,42,38,20,30,36,2,Sword,10,-1,55,70,40,45,60,30,20,MYTHIC,FALSE,0,Ragnell·Alondite,,Twin Blades,Ashera's Chosen+,Vantage 3,Atk/Def Oath 3,
WI!Altina,Altina,Cross-Time Duo,42,40,18,37,39,0,Sword,10,-1,55,70,35,60,65,25,64,HERO,FALSE,0,Ragnell·Alondite,,Twin Blades,Atk/Res Unity,Null C-Disrupt 3,Atk/Res Oath 3,
DE!Altina,Altina,Unrivaled Dawn,42,47,16,42,46,0,Axe,10,-1,50,90,30,70,75,10,129,HERO,FALSE,0,Arcadian Axes,,Arms of the Three,Atk/Res Finish 4,A/D Bulwark 4,Time's Pulse 4,
Amelia,Amelia,Rose of the War,47,34,34,35,23,3,Axe,8,-1,65,65,60,60,45,30,175,HERO,TRUE,0,Grado Poleax,,Sacred Cowl,Earth Boost 3,,Armor March 3,
A!Amelia,Amelia,Blossoming Talent,55,-1,-1,-1,-1,3,Lance,8,-1,-1,-1,-1,-1,-1,10,-1,ASC,FALSE,0,Lance of Grado,,Armored Beacon,Obsidian Tactics,Clever Fighter,A/S Far Save 3,
FA!Anankos,Anankos,Seething Silence,42,43,44,36,31,3,BDragon,14,-1,55,75,70,60,55,15,76,HERO,FALSE,0,Silent Breath,,Noontime,Kestrel Stance,Savvy Fighter 4,A/S Near Save 3,
Anna,Anna,Commander,41,29,38,22,28,0,Axe,0,-1,50,50,65,40,50,35,255,HERO,FALSE,0,Nóatún,,Astra,,Vantage 3,Spur Res 3,
BR!Anna,Anna,Secret Charmer,38,43,46,22,25,1,GBow,13,-1,50,70,80,40,50,15,93,HERO,FALSE,0,Heartbroker Bow,,Luna,Remote Sparrow,Seal Def 4,C Feud 3,
P!Anna,Anna,Secret Seller,38,35,40,28,31,0,Lance,13,-1,45,60,70,50,55,30,43,HERO,FALSE,0,Apotheosis Spear,Rally Atk/Spd+,,Atk/Spd Form 3,Atk/Spd Ruse 3,Joint Drive Spd,
NY!Anna,Anna,Wealth-Wisher,40,34,40,16,37,0,RBow,0,-1,50,60,70,30,65,30,65,HERO,FALSE,0,Fortune Bow+,Rally Def/Res+,,,Sabotage Atk 3,Atk/Spd Gap 3,
H!E!Anna,Anna,Twice the Anna,40,44,47,31,27,2,Axe,17,-1,50,70,90,50,50,10,215,,FALSE,0,Payday Pouch,,Miracle,Atk/Spd Prime 4,Gambit 4,A/S Rein Snap,
Annand,Annand,Knight-Defender,37,35,39,27,34,2,Sword,4,-1,45,60,65,50,60,25,40,HERO,FALSE,0,Unbound Blade+,,Moonbow,Sturdy Impact,Guard Bearing,,
WI!Annette,Annette,Festive Helper,43,43,23,40,41,3,CBow,16,-1,55,70,45,65,75,15,179,HERO,FALSE,0,Peppy Bow+,,Moonbow,Atk/Res Ideal 3,Crafty Fighter 3,,
Annette,Annette,Overachiever,40,39,36,28,30,0,Axe,16,-1,50,70,60,50,50,30,90,HERO,FALSE,0,Crusher,Rally Atk/Spd+,,,Def/Res Ruse 3,Atk/Def Gap 3,
Arden,Arden,Strong and Tough,60,36,16,41,16,3,Sword,4,-1,80,60,30,65,30,30,241,HERO,FALSE,0,Arden's Blade,,Pavise,,Follow-Up Ring,Drive Def 2,
Ares,Ares,Black Knight,40,36,30,33,18,1,Sword,4,-1,50,65,50,60,30,30,231,HERO,FALSE,0,Dark Mystletainn,,Draconic Aura,Brazen Atk/Def 3,Seal Def/Res 2,,
Arete,Arete,Requiem's Beauty,41,36,27,20,34,1,RTome,14,-1,50,65,50,35,60,25,118,HERO,FALSE,0,Rauðrrabbit+,,Glacies,Atk/Res Push 3,,Res Ploy 3,
Arion,Arion,Gungnir's Heir,41,45,36,46,21,2,Lance,4,-1,55,80,55,90,30,10,133,HERO,FALSE,0,Heired Gungnir,,Ignis,Atk/Def Catch 3,Wyvern Flight 3,,
Arlen,Arlen,Mage of Khadein,41,42,45,38,17,0,CTome,1,-1,50,75,75,70,30,10,206,HERO,FALSE,0,Lightburst Tome,,Ignis,C Bonus Doubler,Atk/Res Tempo 4,,
G!Arthur,Arthur,Furious Mage,40,42,41,30,18,0,GTome,4,-1,50,70,70,55,35,20,239,HERO,FALSE,0,"Gronnvulture+	",,Glimmer,Atk/Spd Ideal 4,,Spd/Res Menace,
F!Arthur,Arthur,Hapless Hero,43,32,29,30,24,0,Axe,14,-1,55,55,50,50,45,30,208,HERO,FALSE,0,Arthur's Axe,Swap,,HP +5,Lancebreaker 3,,
WI!Artur,Artur,Silver Saint,43,41,19,35,41,3,GTome,8,-1,55,70,35,60,70,20,164,HERO,FALSE,0,Snow Globe+,,Iceberg,,Odd Follow-Up 3,D/R Far Save 3,
Arval,Arval,Cycle Keeper,40,44,27,23,43,0,CTome,16,-1,50,75,50,45,70,15,245,MYTHIC,FALSE,0,Rite of Souls,,Glacies,Duality,Atk/Res Tempo 3,Atk/Res Oath 4,
Arvis,Arvis,Emperor of Flame,33,34,31,17,33,0,RTome,4,-1,35,60,55,30,60,35,125,HERO,FALSE,0,Valflame,,Growing Flame,,Recover Ring,Def Ploy 3,
Asbel,Asbel,Windswept Youth,40,36,42,21,26,0,GTome,5,-1,50,65,70,40,45,25,191,HERO,FALSE,0,Grafcalibur,,Moonbow,Fury 4,Null Follow-Up 3,Spd/Res Oath 3,
NY!Ash,Ash,Earnest Greetings,41,44,19,44,40,0,BBeast,0,-1,50,70,35,75,75,15,96,HERO,FALSE,0,Heralding Horn,,Bonfire,Distant Reversal,Atk/Def Bulwark 3,Opening Retainer,
Ash,Ash,Retainer to Askr,41,39,27,41,34,0,CBeast,0,-1,50,70,50,70,55,20,158,MYTHIC,FALSE,0,Horn of Opening,,Bonfire,Atk/Def Unity,Lull Atk/Def 3,Opening Retainer,
Ashe,Ashe,Chivalric Amends,39,44,47,27,28,1,GBow,16,-1,50,75,90,45,50,5,-1,HERO,FALSE,0,Just Bow,,Curved Shot,Flared Sparrow,Seal Spd/Def 3,Odd Spd Wave 4,
SP!Ashe,Ashe,Budding Chivalry,40,43,46,32,17,2,RDagger,16,-1,50,70,80,65,30,15,51,HERO,FALSE,0,Bunny's Egg+,Rally Up Spd+,,Atk/Spd Catch 3,,Atk/Spd Rein 3,
SU!Ashe,Ashe,Fabled Sea Knight,40,37,41,32,18,1,Lance,16,-1,50,65,70,60,30,25,213,HERO,FALSE,0,Divine Sea Spear,,Moonbow,B Duel Cavalry 4,S/D Near Trace 3,Joint Hone Spd,
Ashera,Ashera,Order Goddess,37,35,39,15,40,0,CTome,10,-1,50,50,70,25,75,25,23,MYTHIC,FALSE,0,Order's Sentence,,Glacies,Atk/Res Ideal 4,Lull Spd/Res 4,Order's Restraint+,
Ashnard,Ashnard,Mad King,43,37,21,35,31,2,Sword,9,-1,60,65,35,60,50,30,81,HERO,FALSE,0,Gurgurant,,Dragon Fang,Distant Def 3,,Even Atk Wave 3,
Askr,Askr,God of Openness,40,43,26,43,31,0,CBeast,0,-1,50,75,50,70,50,20,86,MYTHIC,FALSE,0,Illuminating Horn,,Bonfire,Atk/Def Ideal 4,Atk/Def Bulwark 3,Opened Domain,
NY!Askr,Askr,Renewed Gods,40,42,16,42,37,0,CTome,0,-1,50,75,30,70,65,15,122,DUO,FALSE,0,Duality Vessel,,Bonfire,Def/Res Finish 4,Atk/Res Tempo 3,Opened Domain,
H!Askr,Askr,Open Harvest,42,48,16,48,45,0,CBeast,0,-1,55,75,30,90,75,5,-1,HERO,FALSE,0,Horn of Harvest,,Sturdy Beast,D Bonus Doubler,Reopening,Connected World,
Astram,Astram,Midia's Hero,44,35,36,36,21,0,Sword,1,-1,60,55,60,65,40,30,15,HERO,FALSE,0,Mercurius,,Bonfire,Wind Boost 3,Wrath 3,,
Astrid,Astrid,Resolute Damsel,38,39,41,27,23,1,GBow,9,-1,50,70,70,50,40,20,200,HERO,FALSE,0,Damiell Bow,Rally Atk/Def+,,Spd/Def Bond 4,Atk/Def Ruse 3,,
Athena,Athena,Borderland Sword,36,31,38,27,24,0,Sword,1,-1,45,55,65,45,45,35,146,HERO,FALSE,0,Concealed Blade,,Moonbow,Sturdy Blow 2,,Sword Exp. 3,
Athos,Athos,Omniscient One,40,49,18,32,49,0,BTome,7,-1,50,80,35,55,90,5,-1,MYTHIC,FALSE,0,Blessed Aureola,,Frost Moon,Beyond Reason,Atk/Res Discord,Pulse Up: Ploy,
Atlas,Atlas,Forest Muscle,46,43,37,34,27,0,Axe,15,-1,60,75,65,70,55,20,172,HERO,FALSE,0,Stout Axe+,,Sol,Earth Boost 3,,Threat. Atk/Def 2,
August,August,Astute Tactician,40,40,17,32,43,0,Staff,5,-1,50,70,30,55,75,20,217,HERO,FALSE,0,Diplomacy Staff,Nudge+,Fireflood Balm+,Def/Res Bond 4,,Even Recovery 3,
Aversa,Aversa,Dark One,42,33,34,17,24,2,RTome,13,-1,55,60,60,30,40,30,188,HERO,TRUE,0,Aversa's Night,,Dragon Fang,HP/Spd 2,,Odd Res Wave 3,
Ayra,Ayra,Astra's Wielder,41,33,37,31,21,0,Sword,4,-1,50,60,60,55,40,35,143,HERO,TRUE,0,Ayra's Blade,,Regnal Astra,Swift Sparrow 2,Desperation 3,,
T!Ayra,Ayra,Together in Tea,40,44,46,32,17,1,Sword,4,-1,50,70,80,65,30,15,231,,FALSE,0,Teatime's Edge,,Supreme Astra,Atk/Spd Clash 4,Flow Desperation,Red Feud 3,
L!Ayra,Ayra,Supreme Astra,40,46,48,34,31,0,Sword,4,-1,50,80,90,55,50,5,-1,LEGEND,FALSE,0,Sword of Isaach,,Crusader's Astra,Atk/Spd Excel,Speedtaker 4,Brutal Tempest,
Azama,Azama,Carefree Monk,43,21,26,32,25,0,Staff,14,-1,55,40,45,55,45,35,149,HERO,TRUE,0,Pain+,Martyr+,Solid-Earth Balm,,,Threaten Atk 3,
Azelle,Azelle,Youthful Flame,41,37,39,26,23,0,RTome,4,-1,50,65,65,50,40,25,233,HERO,FALSE,0,Sparking Tome,Rally Up Spd+,,R Duel Infantry 4,Spd/Res Ruse 3,Joint Hone Spd,
NY!Azura,Azura,Celebratory Spirit,37,30,35,22,26,2,Axe,14,-1,50,55,60,40,50,30,102,HERO,FALSE,1,Hagoita+,Sing,,,Earth Dance 3,Hone Fliers,
DE!Azura,Azura,Hatari Duet,37,37,39,16,23,1,GTome,14,-1,50,70,70,30,45,20,171,ATTU,FALSE,1,Dancing Flames,Gray Waves,,Fury 4,S/R Far Trace 3,Cross Spur Res,
DA!Azura,Azura,Lady of Ballads,35,32,34,20,28,0,Axe,14,-1,45,60,60,40,50,35,255,HERO,FALSE,1,Urðr,Sing,,Triangle Adept 3,,Drive Res 2,
Azura,Azura,Lady of the Lake,36,31,33,21,28,0,Lance,14,-1,45,60,60,40,50,30,83,HERO,TRUE,1,Sapphire Lance+,Sing,,Speed +3,,Fortify Res 3,
L!Azura,Azura,Vallite Songstress,33,30,35,17,24,2,BTome,14,-1,45,55,65,30,45,30,47,LEGEND,FALSE,1,Prayer Wheel,Gray Waves II,,Atk/Spd Push 4,Aerobatics 3,Atk Tactic 3,
P!Azura,Azura,Young Songstress,36,33,29,17,25,0,GTome,14,-1,50,60,55,30,45,35,32,HERO,FALSE,1,Book of Shadows,Sing,,Spd/Res Bond 3,Torrent Dance 3,,
X!Azura,Azura,Song's Reflection,38,45,46,18,28,1,Axe,14,-1,50,75,90,35,50,10,21,HERO,FALSE,1,Tri-Path Splitter,Changing Waters,,Firestorm Boost,A/D Cantrip 3,Cross Spur Atk,Mercy-Wing Echo
Balthus,Balthus,King of Grappling,47,42,24,37,31,0,Axe,16,-1,65,70,45,60,55,20,183,HERO,FALSE,0,Instant Axe+,,Ignis,Brazen Atk/Def 3,,Close Guard 3,
Bantu,Bantu,Tiki's Guardian,45,34,28,35,26,0,RDragon,1,-1,65,55,50,60,45,30,169,HERO,FALSE,0,Wizened Breath,,Dragon Fang,Fierce Stance 3,,Savage Blow 3,
Barst,Barst,The Hatchet,46,33,32,30,17,0,Axe,1,-1,60,55,55,55,30,30,48,HERO,FALSE,0,Devil Axe,Reposition,,,Knock Back,Spur Atk 3,
SP!Bartre,Bartre,Earsome Warrior,46,40,26,35,25,0,Sword,6,-1,60,70,50,55,45,30,23,HERO,FALSE,0,Carrot Cudgel+,Smite,,,Obstruct 3,Odd Atk Wave 3,
Bartre,Bartre,Fearless Warrior,49,36,25,33,13,0,Axe,6,-1,65,60,45,60,25,30,133,HERO,FALSE,0,Axe of Virility,Smite,,Fury 3,Brash Assault 3,,
Basilio,Basilio,Feroxi West-Khan,48,43,33,36,21,0,Axe,13,-1,65,70,60,60,40,20,184,HERO,FALSE,0,Spirited Axe+,,Moonbow,Atk/Def Bond 3,,Atk Tactic 3,
Bastian,Bastian,Crimea's Keystone,40,44,28,20,45,0,GTome,10,-1,50,75,55,40,70,15,157,HERO,FALSE,0,Gronndeer+,,Iceberg,,Sabotage Res 3,Atk Ploy 3,
Benny,Benny,Sensitive Soul,48,35,23,44,34,3,Lance,14,-1,65,60,40,70,60,25,51,HERO,FALSE,0,Steadfast Lance+,,Pavise,Bracing Stance 2,Wary Fighter 3,,
DA!Berkut,Berkut,Debonair Noble,41,36,23,37,24,0,Lance,15,-1,55,65,40,70,45,30,200,HERO,FALSE,0,Verðandi,Dance,,B Duel Infantry 3,,Distant Guard 3,
Berkut,Berkut,Prideful Prince,43,34,22,31,24,1,Lance,15,-1,55,60,40,55,40,30,155,HERO,FALSE,0,Dark Royal Spear,,Blazing Flame,Water Boost 3,,Ward Cavalry,
FA!Berkut,Berkut,Purgatorial Prince,40,35,17,35,30,1,Lance,15,-1,50,70,30,55,50,30,162,HERO,FALSE,0,Krimhild,,Reprisal,Warding Stance 3,,Odd Res Wave 3,
Bernadetta,Bernadetta,Eternal Loner,38,32,38,22,26,1,CBow,16,-1,50,55,70,40,45,30,119,HERO,FALSE,0,Persecution Bow,Ardent Sacrifice,,Atk/Spd Push 4,Lull Spd/Def 3,Close Guard 3,
WI!Bernadetta,Bernadetta,Frosty Shut-In,39,36,40,19,23,1,GTome,16,-1,50,65,70,35,40,25,80,HERO,FALSE,0,Hrist,,Moonbow,Atk/Spd Solo 4,Lull Spd/Res 3,Rouse Atk/Spd 3,
SP!Bernadetta,Bernadetta,Late Hibernator,39,43,47,20,25,1,BBow,16,-1,50,70,90,30,50,15,201,HERO,FALSE,0,Bow of Repose,,Draconic Aura,Remote Sparrow,Escape Route 4,Def/Res Smoke 3,
B!Bernadetta,Bernadetta,Sheltered Loner,40,45,48,24,28,1,BBow,16,-1,50,75,90,45,50,5,-1,HERO,FALSE,0,The Inexhaustible,,Curved Shot,Atk/Spd Prime 4,Assassin's Strike,Paranoia,
Bertram,Bertram,Dread Cavalier,45,37,27,38,26,1,Sword,9,-1,60,65,50,65,45,20,2,HERO,FALSE,0,Instant Sword+,,Ignis,,Dull Close 3,Rouse Atk/Def 3,
Beruka,Beruka,Quiet Assassin,46,29,23,37,22,2,Axe,14,-1,60,50,40,65,40,30,207,HERO,FALSE,0,Beruka's Axe,,Glimmer,Defiant Def 3,Lunge,,
Black Knight,Black Knight,Sinister General,48,34,34,35,18,3,Sword,9,-1,60,55,60,60,30,30,159,HERO,TRUE,0,Alondite,,Black Luna,Steady Stance,Wings of Mercy 3,,
WI!Black Knight,Black Knight,The Night's Blade,43,44,44,35,30,3,Axe,9,-1,55,75,70,60,55,15,248,HERO,FALSE,0,Solemn Axe,,Black Luna,Distant Dart,Special Fighter 4,D/R Far Save 3,
Boey,Boey,Skillful Survivor,43,29,27,32,18,0,GTome,15,-1,55,50,50,55,30,35,220,HERO,FALSE,0,Inscribed Tome,,Ignis,Earth Boost 3,Renewal 3,,
Bors,Bors,Ostia's Bastion,51,47,34,48,25,3,Lance,6,-1,70,70,60,90,45,5,-1,HERO,FALSE,0,Doubler Lance+,,Ignis,Atk/Def Form 3,Vengeful Fighter 3,,
CH!Boyd,Boyd,Future Great,50,43,36,31,21,0,Axe,9,-1,70,70,60,55,40,20,241,HERO,FALSE,0,Large War Axe,Shove,,Fire Boost 3,,Infantry Pulse 3,
Brady,Brady,Daunting Priest,41,33,32,23,28,0,Staff,13,-1,50,55,55,45,50,30,140,HERO,FALSE,0,Slow+,Recover+,Heavenly Light,Atk/Res Push 3,,Infantry Rush 3,
Bramimond,Bramimond,The Enigma,39,40,27,21,35,0,CTome,7,-1,50,70,50,35,60,30,136,MYTHIC,FALSE,0,Void Tome,,Luna,Atk/Def Push 4,Atk/Res Tempo 3,Impenetrable Void,
Brigand Boss,Brigand Boss,Known Criminal,45,42,35,35,24,0,Axe,15,-1,60,70,60,60,45,20,110,HERO,FALSE,0,Vulture Axe+,,Dragon Fang,,Chill Spd/Def 2,Atk Smoke 3,
Brigid,Brigid,Awakened Bow,40,46,48,34,25,0,GBow,4,-1,50,75,90,60,45,5,-1,ATTU,FALSE,0,Divine Yewfelle,,Draconic Aura,Perfect Atk/Spd,I Remember…,Creation Pulse,Tempo Echo
PI!Brigid,Brigid,Orgahil Pirate,41,37,40,30,19,0,RBow,4,-1,50,65,70,55,35,30,155,HERO,FALSE,0,Helm Bow+,Harsh Command+,,Steady Impact,,Pulse Smoke 3,
Brunnya,Brunnya,Devoted General,42,35,31,21,33,0,BTome,6,-1,55,60,55,40,55,30,203,HERO,FALSE,0,Fimbulvetr,,Glacies,Death Blow 3,,Res Smoke 3,
Bruno,Bruno,Masked Knight,33,29,35,22,25,1,BTome,0,-1,40,50,60,40,45,30,0,HERO,FALSE,0,Valaskjálf,,,,,,
SP!Bruno,Bruno,Masked Hare,41,30,24,35,14,1,Staff,0,-1,55,50,45,60,25,30,189,HERO,FALSE,0,Ovoid Staff+,Martyr+,Miracle,Atk/Def Push 3,Dazzling Staff 3,,
WI!Bruno,Bruno,Masked Reveler,43,41,38,29,34,3,GTome,0,-1,55,70,60,50,65,15,4,HERO,FALSE,0,Peppy Cane+,Reciprocal Aid,,Fury 3,,Threat. Atk/Res 2,
SU!F!Byleth,Byleth,Fell Star's Duo,40,36,42,16,21,2,RTome,16,-1,50,65,70,30,40,30,238,DUO,FALSE,0,Sun's Percussors,,Ruptured Sky,Atk/Spd Push 4,Chill Spd/Res 2,Ground Orders 3,
DE!M!Byleth,Byleth,Fount of Learning,40,42,44,25,26,0,BTome,16,-1,50,70,70,50,50,15,47,HERO,FALSE,0,Guide's Hourglass,,Sublime Heaven,Spd/Res Finish 3,,Lull Spd/Res 3,
F!Byleth,Byleth,Proven Professor,40,34,40,33,21,0,Sword,16,-1,50,55,70,60,40,30,222,HERO,FALSE,0,Creator Sword,,Ruptured Sky,Fury 4,Wrath 3,Even Atk Wave 3,
B!F!Byleth,Byleth,Sublime Light,39,41,43,26,24,2,CTome,16,-1,50,70,75,50,40,15,126,HERO,FALSE,0,Inner Wellspring,,Divine Pulse,Atk/Spd Catch 4,Spd Preempt 3,Spd/Res Hold,
M!Byleth,Byleth,Tested Professor,40,36,38,34,20,0,Sword,16,-1,50,55,70,60,40,30,45,HERO,FALSE,0,Creator Sword,,Ruptured Sky,Distant Counter,Chill Spd 3,Odd Spd Wave 3,
FA!F!Byleth,Byleth,Vengeance Vessel,40,44,47,32,25,0,Sword,16,-1,50,75,90,55,35,15,229,HERO,FALSE,0,Captain's Sword,,Divine Pulse,Distant A/S Solo,Close Call 4,Time's Pulse 4,
L!F!Byleth,Byleth,The Fódlan Light,40,39,43,23,26,0,BTome,16,-1,50,70,75,45,40,20,186,LEGEND,FALSE,0,Professorial Guide,,Ruptured Sky,Atk/Spd Finish 4,Lull Spd/Res 3,Goddess Bearer II,
L!M!Byleth,Byleth,The Fódlan Star,40,39,41,25,21,0,GTome,16,-1,50,70,70,50,30,25,137,LEGEND,FALSE,0,Professorial Text,,Sublime Heaven II,Atk/Def Ideal 4,Lull Atk/Res 3,Atk/Spd Oath 4,
WI!M!Byleth,Byleth,Frosty Professors,47,46,18,45,46,3,Sword,16,-1,55,90,30,75,75,10,253,DUO,FALSE,0,Holy Yule Blade,,Supreme Heaven,Fireflood Boost 3,Weaving Fighter,A/R Far Save 3,
Caeda,Caeda,Talys's Heart,36,25,37,24,34,2,Sword,1,-1,45,45,65,45,55,30,211,HERO,TRUE,0,Wing Sword,Rally Speed,,Darting Blow 3,,Fortify Fliers,
CH!Caeda,Caeda,Princess of Talys,36,33,42,25,30,2,Sword,1,-1,45,60,70,45,50,30,160,HERO,FALSE,0,Feather Sword,,Moonbow,Distant Counter,Belief in Love,Joint Hone Atk,
SU!Caeda,Caeda,Sea-Blossom Pair,39,33,42,26,28,1,Axe,1,-1,50,60,70,45,50,25,43,,FALSE,0,Dolphin-Dive Axe,Harsh Command+,,Atk/Spd Catch 4,Flow Refresh 3,Panic Smoke 3,
BR!Caeda,Caeda,Talys's Bride,33,29,37,19,30,0,BTome,1,-1,40,50,65,35,50,35,69,HERO,FALSE,0,Blessed Bouquet+,,Iceberg,Attack/Res 2,,Hone Spd 3,
L!Caeda,Caeda,Beloved Queen,39,38,43,27,31,2,Lance,1,-1,50,65,70,50,55,20,175,LEGEND,FALSE,0,Wing-Lifted Spear,,Moonbow,Distant Storm,Faithful Loyalty,Atk/Def Rein 3,
X!Caeda,Caeda,Marth's Faithful,40,42,47,30,34,0,Lance,1,-1,50,70,90,50,55,10,149,ATTU,FALSE,0,Pure-Wing Spear,,Luna,D Bonus Doubler,Believe in Love?,Def/Res Pledge,Guard Echo
Caeldori,Caeldori,Perfect Angel,39,40,44,30,31,2,Lance,14,-1,50,70,75,50,55,15,234,HERO,FALSE,0,Prodigy Polearm,,Draconic Aura,Atk/Spd Catch 4,,Atk/Spd Hold,
Caellach,Caellach,Tiger Eye,45,40,27,31,33,0,Axe,8,-1,60,70,45,55,55,25,183,HERO,FALSE,0,Tiger-Eye Axe,,Dragon Fang,Guard 3,,Even Def Wave 3,
Cain,Cain,The Bull,42,32,32,27,21,1,Sword,1,-1,55,55,60,45,35,30,226,HERO,FALSE,0,Bull Blade,,Escutcheon,,Wings of Mercy 3,Threaten Atk 3,
Caineghis,Caineghis,Gallia's Lion King,47,37,23,37,30,3,CBeast,10,-1,55,65,45,60,50,30,35,HERO,FALSE,0,Lion King Fang,,Bonfire,Distant Def 4,Vengeful Fighter 3,Distant Guard 3,
Camilla,Camilla,Bewitching Beauty,37,30,32,28,31,2,Axe,14,-1,45,50,55,50,55,30,211,HERO,TRUE,0,Camilla's Axe,,Draconic Aura,Darting Blow 3,,Savage Blow 3,
