Name,Description,Letter,Tier,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,RestrictedMovement,RestrictedWeapons,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3
Fort. Def/Res 1,Grants Def/Res+3. Inflicts Atk-3.,A,2,defBoost,3,resBoost,3,atkBoost,-3,,,,,Any,Any,,,
Fort. Def/Res 2,Grants Def/Res+4. Inflicts Atk-3.,A,3,defBoost,4,resBoost,4,atkBoost,-3,,,,,Any,Any,,,
Fort. Def/Res 3,Grants Def/Res+6. Inflicts Atk-2.,A,4,defBoost,6,resBoost,6,atkBoost,-2,,,,,Any,Any,,,
Stronghold,"Inflicts Atk-3. Grants Def/Res+7. At start of player phase or enemy phase, neutralizes [Panic] and any penalties to unit's Def/Res that take effect on unit at this time.",A,4,defBoost,7,resBoost,7,atkBoost,-3,fdr_detox,0,,,Any,Any,,,
Fortifications,"Inflicts Atk-5. Grants Def/Res+7. If unit is in a space where a Divine Vein effect is applied, unit can counterattack regardless of foe's range. If unit initiates combat, grants Def/Res+6 to unit and reduces damage from foe's Specials by 10 during combat (excluding area-of-effect Specials). If unit has entered combat during the current turn, after unit acts (if Canto triggers, after Canto), applies [Divine Vein (Stone)] to unit's space and spaces within 2 spaces of unit for 1 turn.",A,4,defBoost,7,resBoost,7,atkBoost,-5,fortificationStone,0,,,Any,Ranged,,,
Solid Ground 1,Grants Atk/Def+3. Inflicts Res-3.,A,1,atkBoost,3,defBoot,3,resBoost,-3,,,,,Any,Any,,,
Solid Ground 2,Grants Atk/Def+4. Inflicts Res-4.,A,2,atkBoost,4,defBoot,4,resBoost,-4,,,,,Any,Any,,,
Solid Ground 3,Grants Atk/Def+5. Inflicts Res-5.,A,3,atkBoost,5,defBoot,5,resBoost,-5,,,,,Any,Any,,,
Solid Ground 4,Grants Atk/Def+7. Inflicts Res-5.,A,4,atkBoost,7,defBoot,7,resBoost,-5,,,,,Any,Any,,,
Still Water 1,Grants Atk/Res+3. Inflicts Def-3.,A,1,atkBoost,3,resBoost,3,defBoost,-3,,,,,Any,Any,,,
Still Water 2,Grants Atk/Res+4. Inflicts Def-4.,A,2,atkBoost,4,resBoost,4,defBoost,-4,,,,,Any,Any,,,
Still Water 3,Grants Atk/Res+5. Inflicts Def-5.,A,3,atkBoost,5,resBoost,5,defBoost,-5,,,,,Any,Any,,,
Still Water 4,Grants Atk/Res+7. Inflicts Def-5.,A,4,atkBoost,7,resBoost,7,defBoost,-5,,,,,Any,Any,,,
Crystalline Water,"Grants Atk/Res+8. Inflicts Def-8. At start of player phase or enemy phase, neutralizes [Panic] and any penalties to unit's Atk/Res that take effect on unit at this time.",A,4,atkBoost,8,resBoost,8,defBoost,-8,sw_detox,0,,,Any,Any,,,
Fury 1,"Grants Atk/Spd/Def/Res+1. After combat, deals 2 damage to unit.",A,1,spectrumBoost,1,selfDmg,2,,,,,,,Any,Staff,,,
Fury 2,"Grants Atk/Spd/Def/Res+2. After combat, deals 4 damage to unit.",A,2,spectrumBoost,2,selfDmg,4,,,,,,,Any,Staff,,,
Fury 3,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",A,3,spectrumBoost,3,selfDmg,6,,,,,,,Any,Staff,,,
Fury 4,"Grants Atk/Spd/Def/Res+4. After combat, deals 8 damage to unit.",A,4,spectrumBoost,4,selfDmg,8,,,,,,,Any,Staff,,,
Life and Death 1,Grants Atk/Spd+3. Inflicts Def/Res-3.,A,1,atkBoost,3,spdBoost,3,defBoost,-3,resBoost,-3,,,Any,Staff,,,
Life and Death 2,Grants Atk/Spd+4. Inflicts Def/Res-4.,A,2,atkBoost,4,spdBoost,4,defBoost,-4,resBoost,-4,,,Any,Staff,,,
Life and Death 3,Grants Atk/Spd+5. Inflicts Def/Res-5.,A,3,atkBoost,5,spdBoost,5,defBoost,-5,resBoost,-5,,,Any,Staff,,,
Life and Death 4,Grants Atk/Spd+7. Inflicts Def/Res-5.,A,4,atkBoost,7,spdBoost,7,defBoost,-5,resBoost,-5,,,Any,Staff,,,
Verge of Death,"Grants Atk/Spd+8. Inflicts Def/Res-8. At start of player phase or enemy phase, neutralizes [Panic] and any penalties to unit's Atk/Spd that take effect on unit at this time.",A,4,atkBoost,8,spdBoost,8,defBoost,-8,resBoost,-8,l&d_detox,0,Any,Staff,,,
Death Blow 1,"If unit initiates combat, grants Atk+2 during combat.",A,1,atkBlow,2,,,,,,,,,Any,Staff,,,
Death Blow 2,"If unit initiates combat, grants Atk+4 during combat.",A,2,atkBlow,4,,,,,,,,,Any,Staff,,,
Death Blow 3,"If unit initiates combat, grants Atk+6 during combat.",A,3,atkBlow,6,,,,,,,,,Any,Staff,,,
Death Blow 4,"If unit initiates combat, grants Atk+8 during combat.",A,4,atkBlow,8,,,,,,,,,Any,Staff,,,
Darting Blow 1,"If unit initiates combat, grants Spd+2 during combat.",A,1,spdBlow,2,,,,,,,,,Any,Staff,,,
Darting Blow 2,"If unit initiates combat, grants Spd+4 during combat.",A,2,spdBlow,4,,,,,,,,,Any,Staff,,,
Darting Blow 3,"If unit initiates combat, grants Spd+6 during combat.",A,3,spdBlow,6,,,,,,,,,Any,Staff,,,
Darting Blow 4,"If unit initiates combat, grants Spd+9 during combat.",A,4,spdBlow,9,,,,,,,,,Any,Staff,,,
Armored Blow 1,"If unit initiates combat, grants Def+2 during combat.",A,1,defBlow,2,,,,,,,,,Any,Staff,,,
Armored Blow 2,"If unit initiates combat, grants Def+4 during combat.",A,2,defBlow,4,,,,,,,,,Any,Staff,,,
Armored Blow 3,"If unit initiates combat, grants Def+6 during combat.",A,3,defBlow,6,,,,,,,,,Any,Staff,,,
Warding Blow 1,"If unit initiates combat, grants Res+2 during combat.",A,1,resBlow,2,,,,,,,,,Any,Staff,,,
Warding Blow 2,"If unit initiates combat, grants Res+4 during combat.",A,2,resBlow,4,,,,,,,,,Any,Staff,,,
Warding Blow 3,"If unit initiates combat, grants Res+6 during combat.",A,3,resBlow,6,,,,,,,,,Any,Staff,,,
Swift Sparrow 1,"If unit initiates combat, grants Atk/Spd+2 during combat. ",A,2,atkBlow,2,spdBlow,2,,,,,,,Any,Staff,,,
Swift Sparrow 2,"If unit initiates combat, grants Atk/Spd+4 during combat.",A,3,atkBlow,4,spdBlow,4,,,,,,,Any,Staff,,,
Swift Sparrow 3,"If unit initiates combat, grants Atk+6, Spd+7 during combat.",A,4,atkBlow,6,spdBlow,7,,,,,,,Any,Staff,,,
Surge Sparrow,"If unit initiates combat, grants Atk/Spd+7 to unit during combat, and also, if unit deals damage to foe using a Special, restores HP = X% of unit's max HP (X = unit's max Special cooldown count value x 20, +10; max 100). (Triggers even if 0 damage is dealt.) ",A,4,atkBlow,7,spdBlow,7,surgeHeal,100,,,,,Any,Ranged,,,
Remote Sparrow,"If unit initiates combat, grants Atk/Spd+7 during combat and reduces damage from foe's first attack during combat by 30%.",A,4,atkBlow,7,spdBlow,7,remoteDR,0,,,,,Any,Melee-Staff,,,
Flared Sparrow,"If unit initiates combat, deals 7 damage to foe as combat begins (effects that reduce damage ""during combat"" do not apply; will not reduce foe's HP below 1), grants Atk/Spd+7 to unit during combat, and applies [Divine Vein (Flame)] on 5 spaces in a line centered on foe's space (oriented left to right based on the direction unit is facing) for 1 turn after combat.",A,4,atkBlow,7,spdBlow,7,applyFlare,0,,,,,Inf-Armor,Staff,,,
Sly Swift Sparrow,"If unit initiates combat, grants Atk/Spd+8 to unit and unit makes a guaranteed follow-up attack during combat, and also, if number of [Bonus] effects active on unit ≥ 2, excluding stat bonuses, or if number of [Penalty] effects active on foe ≥ 2, excluding stat penalties, unit deals +5 damage during combat (including when dealing damage with an area-of-effect Special; excluding Røkkr area-of-effect Specials).",A,4,atkBlow,8,spdBlow,8,slyBlow,0,,,,,Any,Staff,,,
Sturdy Blow 1,"If unit initiates combat, grants Atk/Def+2 during combat. ",A,2,atkBlow,2,defBlow,2,,,,,,,Any,Staff,,,
Sturdy Blow 2,"If unit initiates combat, grants Atk/Def+4 during combat. ",A,3,atkBlow,4,defBlow,4,,,,,,,Any,Staff,,,
Sturdy Impact,"If unit initiates combat, grants Atk+6, Def+10 during combat and foe cannot make a follow-up attack.",A,4,atkBlow,6,defBlow,10,impactDenial,0,,,,,Armor-Cav,Staff,,,
Sturdy Surge,"If unit initiates combat, grants Atk+7, Def+10 to unit during combat, and also, if unit deals damage to foe using a Special, restores HP = X% of unit's max HP (X = unit's max Special cooldown count value x 20, +10; max 100). (Triggers even if 0 damage is dealt.) ",A,4,atkBlow,7,defBlow,10,surgeHeal,100,,,,,Any,Ranged,,,
Remote Sturdy,"If unit initiates combat, grants Atk+7 and Def+10 to unit during combat and reduces damage from foe's first attack during combat by 30%.",A,4,atkBlow,7,defBlow,10,remoteDR,0,,,,,Any,Melee-Staff,,,
Sly Sturdy Blow,"If unit initiates combat, grants Atk+8 and Def+10 to unit and unit makes a guaranteed follow-up attack during combat, and also, if number of [Bonus] effects active on unit ≥ 2, excluding stat bonuses, or if number of [Penalty] effects active on foe ≥ 2, excluding stat penalties, unit deals +5 damage during combat (including when dealing damage with an area-of-effect Special; excluding Røkkr area-of-effect Specials).",A,4,atkBlow,8,defBlow,10,slyBlow,0,,,,,Any,Staff,,,
Mirror Strike 1,"If unit initiates combat, grants Atk/Res+2 during combat. ",A,2,atkBlow,2,resBlow,2,,,,,,,Any,Staff,,,
Mirror Strike 2,"If unit initiates combat, grants Atk/Res+4 during combat. ",A,3,atkBlow,4,resBlow,4,,,,,,,Any,Staff,,,
Mirror Impact,"If unit initiates combat, grants Atk+6, Res+10 during combat and foe cannot make a follow-up attack.",A,4,atkBlow,6,resBlow,10,impactDenial,0,,,,,Armor-Cav,Staff,,,
Remote Mirror,"If unit initiates combat, grants Atk+7 and Res+10 to unit during combat and reduces damage from foe's first attack during combat by 30%.",A,4,atkBlow,7,resBlow,10,remoteDR,0,,,,,Any,Melee-Staff,,,
Flared Mirror,"If unit initiates combat, deals 7 damage to foe as combat begins (effects that reduce damage during combat do not apply; will not reduce foe's HP below 1), grants Atk+7, Res+10 to unit during combat, and applies [Divine Vein (Flame)] on 5 spaces in a line centered on foe's space (oriented left to right based on the direction unit is facing) for 1 turn after combat.",A,4,atkBlow,7,resBlow,10,applyFlare,0,,,,,Inf-Armor,Staff,,,
Sly Mirror,"If unit initiates combat, grants Atk+8 and Res+10 to unit and unit makes a guaranteed follow-up attack during combat, and also, if number of [Bonus] effects active on unit ≥ 2, excluding stat bonuses, or if number of [Penalty] effects active on foe ≥ 2, excluding stat penalties, unit deals +5 damage during combat (including when dealing damage with an area-of-effect Special; excluding Røkkr area-of-effect Specials).",A,4,atkBlow,8,resBlow,10,slyBlow,0,,,,,Any,Staff,,,
Steady Blow 1,"If unit initiates combat, grants Spd/Def+2 during combat.",A,2,spdBlow,2,defBlow,2,,,,,,,Any,Staff,,,
Steady Blow 2,"If unit initiates combat, grants Spd/Def+4 during combat.",A,3,spdBlow,4,defBlow,4,,,,,,,Any,Staff,,,
Steady Impact,"If unit initiates combat, grants Spd +7, Def +10 during combat and foe cannot make a follow-up attack.",A,4,spdBlow,7,defBlow,10,impactDenial,0,,,,,Armor-Cav,Staff,,,
Swift Strike 1,"If unit initiates combat, grants Spd/Res+2 during combat.",A,2,spdBlow,2,resBlow,2,,,,,,,Any,Staff,,,
Swift Strike 2,"If unit initiates combat, grants Spd/Res+4 during combat.",A,3,spdBlow,4,resBlow,4,,,,,,,Any,Staff,,,
Swift Impact,"If unit initiates combat, grants Spd+7, Res+10 during combat and foe cannot make a follow-up attack.",A,4,spdBlow,7,resBlow,10,impactDenial,0,,,,,Armor-Cav,Staff,,,
Bracing Blow 1,"If unit initiates combat, grants Def/Res+2 during combat.",A,2,defBlow,2,resBlow,2,,,,,,,Any,Staff,,,
Bracing Blow 2,"If unit initiates combat, grants Def/Res+4 during combat.",A,3,defBlow,4,resBlow,4,,,,,,,Any,Staff,,,
Blade Session 1,"If unit initiates combat, grants bonus to unit's Atk/Spd during combat = 1 + number of allies who have already acted (max value of 3).",A,1,sessionBlow,1,,,,,,,,,Any,Any,,,
Blade Session 2,"If unit initiates combat, grants bonus to unit's Atk/Spd during combat = 2 + number of allies who have already acted × 2 (max value of 6).",A,2,sessionBlow,2,,,,,,,,,Any,Any,,,
Blade Session 3,"If unit initiates combat, grants bonus to unit’s Atk/Spd during combat = 3 + number of allies who have already acted × 3 (min value of 3).",A,3,sessionBlow,3,,,,,,,,,Any,Any,,,
Fierce Stance 1,"If foe initiates combat, grants Atk+2 during combat.",A,1,atkStance,2,,,,,,,,,Any,Staff,,,
Fierce Stance 2,"If foe initiates combat, grants Atk+4 during combat.",A,2,atkStance,4,,,,,,,,,Any,Staff,,,
Fierce Stance 3,"If foe initiates combat, grants Atk+6 during combat.",A,3,atkStance,6,,,,,,,,,Any,Staff,,,
Darting Stance 1,"If foe initiates combat, grants Spd+2 during combat.",A,1,spdStance,2,,,,,,,,,Any,Staff,,,
Darting Stance 2,"If foe initiates combat, grants Spd+4 during combat.",A,2,spdStance,4,,,,,,,,,Any,Staff,,,
Darting Stance 3,"If foe initiates combat, grants Spd+6 during combat.",A,3,spdStance,6,,,,,,,,,Any,Staff,,,
Steady Stance 1,"If foe initiates combat, grants Def+2 during combat.",A,1,defStance,2,,,,,,,,,Any,Any,,,
Steady Stance 2,"If foe initiates combat, grants Def+4 during combat.",A,2,defStance,4,,,,,,,,,Any,Any,,,
Steady Stance 3,"If foe initiates combat, grants Def+6 during combat.",A,3,defStance,6,,,,,,,,,Any,Any,,,
Steady Stance 4,"If foe initiates combat, grants Def+8 during combat and inflicts special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",A,4,defStance,8,stanceGuard,1,,,,,,,Any,Staff,,,
Warding Stance 1,"If foe initiates combat, grants Res+2 during combat.",A,1,resStance,2,,,,,,,,,Any,Any,,,
Warding Stance 2,"If foe initiates combat, grants Res+4 during combat.",A,2,resStance,4,,,,,,,,,Any,Any,,,
Warding Stance 3,"If foe initiates combat, grants Res+6 during combat.",A,3,resStance,6,,,,,,,,,Any,Any,,,
Warding Stance 4,"If foe initiates combat, grants Res+8 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",A,4,resStance,8,stanceGuard,1,,,,,,,Any,Staff,,,
Kestrel Stance 1,"If foe initiates combat, grants Atk/Spd+2 during combat.",A,2,atkStance,2,spdStance,2,,,,,,,Any,Staff,,,
Kestrel Stance 2,"If foe initiates combat, grants Atk/Spd+4 during combat.",A,3,atkStance,4,spdStance,4,,,,,,,Any,Staff,,,
Kestrel Stance 3,"If foe initiates combat, grants Atk/Spd+6 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",A,4,atkStance,6,spdStance,6,stanceGuard,1,,,,,Any,Staff,,,
Sturdy Stance 1,"If foe initiates combat, grants Atk/Def+2 during combat.",A,2,atkStance,2,defStance,2,,,,,,,Any,Staff,,,
Sturdy Stance 2,"If foe initiates combat, grants Atk/Def+4 during combat.",A,3,atkStance,4,defStance,4,,,,,,,Any,Staff,,,
Sturdy Stance 3,"If foe initiates combat, grants. Atk/Def+6 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",A,4,atkStance,6,defStance,6,stanceGuard,1,,,,,Any,Staff,,,
Mirror Stance 1,Grants Atk/Res+2 during combat if foe initiates combat.,A,2,atkStance,2,resStance,2,,,,,,,Any,Staff,,,
Mirror Stance 2,Grants Atk/Res+4 during combat if foe initiates combat.,A,3,atkStance,4,resStance,4,,,,,,,Any,Staff,,,
Mirror Stance 3,"If foe initiates combat, grants Atk/Res+6 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",A,4,atkStance,6,resStance,6,stanceGuard,1,,,,,Any,Staff,,,
Steady Posture 1,"If foe initiates combat, grants Spd/Def+2 during combat.",A,2,spdStance,2,defStance,2,,,,,,,Any,Staff,,,
Steady Posture 2,"If foe initiates combat, grants Spd/Def+4 during combat.",A,3,spdStance,4,defStance,4,,,,,,,Any,Staff,,,
Steady Posture 3,"If foe initiates combat, grants Spd/Def+6 to unit during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",A,3,spdStance,6,defStance,6,stanceGuard,1,,,,,Any,Staff,,,
Swift Stance 1,"If foe initiates combat, grants Spd/Res+2 during combat.",A,2,spdStance,2,resStance,2,,,,,,,Any,Staff,,,
Swift Stance 2,"If foe initiates combat, grants Spd/Res+4 during combat.",A,3,spdStance,4,resStance,4,,,,,,,Any,Staff,,,
Swift Stance 3,"If foe initiates combat, grants Spd/Res+6 to unit during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",A,4,spdStance,6,resStance,6,stanceGuard,1,,,,,Any,Staff,,,
Bracing Stance 1,"If foe initiates combat, grants Def/Res+2 during combat.",A,2,defStance,2,resStance,2,,,,,,,Any,Staff,,,
Bracing Stance 2,"If foe initiates combat, grants Def/Res+4 during combat.",A,3,defStance,4,resStance,4,,,,,,,Any,Staff,,,
Bracing Stance 3,"If foe initiates combat, grants Def/Res+6 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack).",A,4,defStance,6,resStance,6,stanceGuard,1,,,,,Any,Staff,,,
Fierce Breath,"If foe initiates combat, grants Atk+4 during combat and Special cooldown charge +1 per attack. (Only highest value applies. Does not stack.)",A,3,atkStance,4,breathCharge,1,,,,,,,Cav-Fly,Ranged,,,
Darting Breath,"If foe initiates combat, grants Spd+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack).",A,3,spdStance,4,breathCharge,2,,,,,,,Cav-Fly,Ranged,,,
Steady Breath,"If foe initiates combat, grants Def+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",A,3,defStance,4,breathCharge,3,,,,,,,Cav-Fly,Ranged,,,
Warding Breath,"If foe initiates combat, grants Res+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",A,3,resStance,4,breathCharge,4,,,,,,,Cav-Fly,Ranged,,,
Distant Def 1,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+2 during combat.",A,1,distDef,1,,,,,,,,,Any,Any,,,
Distant Def 2,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+4 during combat.",A,2,distDef,2,,,,,,,,,Any,Any,,,
Distant Def 3,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.",A,3,distDef,3,,,,,,,,,Any,Any,,,
Distant Def 4,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+8 and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat. ",A,4,distDef,8,DDpenalty,1,,,,,,,Any,Any,,,
Close Def 1,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+2 during combat.",A,1,closeDef,1,,,,,,,,,Any,Any,,,
Close Def 2,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+4 during combat.",A,2,closeDef,2,,,,,,,,,Any,Any,,,
Close Def 3,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+6 during combat.",A,3,closeDef,3,,,,,,,,,Any,Any,,,
Close Def 4,"If foe initiates combat and uses sword, lance, axe, dragonstone or beast damage, grants Def/Res+8 and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",A,4,closeDef,8,CDpenalty,1,,,,,,,Any,Any,,,
Shield Session 1,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 3 - number of foes who have already acted (min value of 1).",A,1,sessionStance,1,,,,,,,,,Any,Any,,,
Shield Session 2,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 6 - number of foes who have already acted × 2 (min value of 2).",A,2,sessionStance,2,,,,,,,,,Any,Any,,,
Shield Session 3,"If foe initiates combat, grants bonus to unit’s Def/Res during combat = 9 - number of foes who have already acted × 3 (min value of 3).",A,3,sessionStance,3,,,,,,,,,Any,Any,,,
Atk/Spd Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Spd+3, but if unit attacked, deals 1 damage to unit after combat.",A,1,atkPush,3,spdPush,3,pushDmg,1,,,,,Any,Any,,,
Atk/Spd Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Spd+4, but if unit attacked, deals 1 damage to unit after combat.",A,2,atkPush,4,spdPush,4,pushDmg,1,,,,,Any,Any,,,
Atk/Spd Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Spd+5, but if unit attacked, deals 1 damage to unit after combat.",A,3,atkPush,5,spdPush,5,pushDmg,1,,,,,Any,Any,,,
Atk/Spd Push 4,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+7, but after combat, if unit attacked, deals 5 damage to unit.",A,4,atkPush4,7,spdPush4,7,pushDmgPlus,5,,,,,Any,Any,,,
Atk/Def Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Def+3, but if unit attacked, deals 1 damage to unit after combat.",A,1,atkPush,3,defPush,3,pushDmg,1,,,,,Any,Any,,,
Atk/Def Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Def+4, but if unit attacked, deals 1 damage to unit after combat.",A,2,atkPush,4,defPush,4,pushDmg,1,,,,,Any,Any,,,
Atk/Def Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Def+5, but if unit attacked, deals 1 damage to unit after combat.",A,3,atkPush,5,defPush,5,pushDmg,1,,,,,Any,Any,,,
Atk/Def Push 4,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+7, but if unit attacked, deals 5 damage to unit after combat.",A,4,atkPush,7,defPush,7,pushDmgPlus,5,,,,,Any,Any,,,
Atk/Res Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Res+3, but if unit attacked, deals 1 damage to unit after combat.",A,1,atkPush,3,resPush,3,pushDmg,1,,,,,Any,Any,,,
Atk/Res Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Res+4, but if unit attacked, deals 1 damage to unit after combat.",A,2,atkPush,4,resPush,4,pushDmg,1,,,,,Any,Any,,,
Atk/Res Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Res+5, but if unit attacked, deals 1 damage to unit after combat.",A,3,atkPush,5,resPush,5,pushDmg,1,,,,,Any,Any,,,
Atk/Res Push 4,"At start of combat, if unit's HP ≥ 25%, grants Atk/Res+7, but after combat, if unit attacked, deals 5 damage to unit.",A,4,atkPush4,7,resPush4,7,pushDmgPlus,5,,,,,Any,Any,,,
Fire Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+2 during combat.",A,1,fireBoost,1,,,,,,,,,Any,Any,,,
Fire Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+4 during combat.",A,2,fireBoost,2,,,,,,,,,Any,Any,,,
Fire Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+6 during combat.",A,3,fireBoost,3,,,,,,,,,Any,Any,,,
Wind Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+2 during combat.",A,1,windBoost,1,,,,,,,,,Any,Any,,,
