Name,Description,Tier,Letter,Chain,Selectable,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,RestrictedMovement,RestrictedWeapons
Attack/Res 2,Grants Atk/Res+2.,2,A,11,TRUE,atkBoost,2,resBoost,2,,,,,,,Any,Any
Spd/Def 1,Grants Spd/Def+1,1,A,12,TRUE,spdBoost,1,defBoost,1,,,,,,,Any,Any
Spd/Def 2,Grants Spd/Def+2,2,A,12,TRUE,spdBoost,2,defBoost,2,,,,,,,Any,Any
Spd/Res 1,Grants Spd/Res+1,1,A,13,TRUE,spdBoost,1,resBoost,1,,,,,,,Any,Any
Spd/Res 2,Grants Spd/Res+2,2,A,13,TRUE,spdBoost,2,resBoost,2,,,,,,,Any,Any
Def/Res 1,Grants Def/Res+1.,1,A,14,TRUE,defBoost,1,resBoost,1,,,,,,,Any,Any
Def/Res 2,Grants Def/Res+2.,2,A,14,TRUE,defBoost,2,resBoost,2,,,,,,,Any,Any
Fortress Def 1,Grants Def+3. Inflicts Atk-3.,1,A,15,TRUE,defBoost,3,atkBoost,-3,,,,,,,Any,Any
Fortress Def 2,Grants Def+4. Inflicts Atk-3.,2,A,15,TRUE,defBoost,4,atkBoost,-3,,,,,,,Any,Any
Fortress Def 3,Grants Def+5. Inflicts Atk-3.,3,A,15,TRUE,defBoost,5,atkBoost,-3,,,,,,,Any,Any
Fortress Res 1,Grants Res+3. Inflicts Atk-3.,1,A,16,TRUE,resBoost,3,atkBoost,-3,,,,,,,Any,Any
Fortress Res 2,Grants Res+4. Inflicts Atk-3.,2,A,16,TRUE,resBoost,4,atkBoost,-3,,,,,,,Any,Any
Fortress Res 3,Grants Res+5. Inflicts Atk-3.,3,A,16,TRUE,resBoost,5,atkBoost,-3,,,,,,,Any,Any
Fort. Def/Res 1,Grants Def/Res+3. Inflicts Atk-3.,2,A,17,TRUE,defBoot,3,resBoost,3,atkBoost,-3,,,,,Any,Any
Fort. Def/Res 2,Grants Def/Res+4. Inflicts Atk-3.,3,A,17,TRUE,defBoot,4,resBoost,4,atkBoost,-3,,,,,Any,Any
Fury 1,"Grants Atk/Spd/Def/Res+1. After combat, deals 2 damage to unit.",1,A,18,TRUE,spectrumBoost,1,selfDmg,2,,,,,,,Any,Any
Fury 2,"Grants Atk/Spd/Def/Res+2. After combat, deals 4 damage to unit.",2,A,18,TRUE,spectrumBoost,2,selfDmg,4,,,,,,,Any,Any
Fury 3,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",3,A,18,TRUE,spectrumBoost,3,selfDmg,6,,,,,,,Any,Any
Life and Death 1,Grants Atk/Spd+3. Inflicts Def/Res-3.,1,A,19,TRUE,atkBoost,3,spdBoost,3,defBoost,-3,resBoost,-3,,,Any,Any
Life and Death 2,Grants Atk/Spd+4. Inflicts Def/Res-4.,2,A,19,TRUE,atkBoost,4,spdBoost,4,defBoost,-4,resBoost,-4,,,Any,Any
Life and Death 3,Grants Atk/Spd+5. Inflicts Def/Res-5.,3,A,19,TRUE,atkBoost,5,spdBoost,5,defBoost,-5,resBoost,-5,,,Any,Any
Still Water 1,Grants Atk/Res+3. Inflicts Def-3.,1,A,20,TRUE,atkBoost,3,resBoost,3,defBoost,-3,,,,,Any,Any
Still Water 2,Grants Atk/Res+4. Inflicts Def-4.,2,A,20,TRUE,atkBoost,4,resBoost,4,defBoost,-4,,,,,Any,Any
Still Water 3,Grants Atk/Res+5. Inflicts Def-5.,3,A,20,TRUE,atkBoost,5,resBoost,5,defBoost,-5,,,,,Any,Any
Death Blow 1,"If unit initiates combat, grants Atk+2 during combat.",1,A,21,TRUE,atkBlow,2,,,,,,,,,Any,Staff
Death Blow 2,"If unit initiates combat, grants Atk+4 during combat.",2,A,21,TRUE,atkBlow,4,,,,,,,,,Any,Staff
Death Blow 3,"If unit initiates combat, grants Atk+6 during combat.",3,A,21,TRUE,atkBlow,6,,,,,,,,,Any,Staff
Darting Blow 1,"If unit initiates combat, grants Spd+2 during combat.",1,A,22,TRUE,spdBlow,2,,,,,,,,,Any,Staff
Darting Blow 2,"If unit initiates combat, grants Spd+4 during combat.",2,A,22,TRUE,spdBlow,4,,,,,,,,,Any,Staff
Darting Blow 3,"If unit initiates combat, grants Spd+6 during combat.",3,A,22,TRUE,spdBlow,6,,,,,,,,,Any,Staff
Armored Blow 1,"If unit initiates combat, grants Def+2 during combat.",1,A,23,TRUE,defBlow,2,,,,,,,,,Any,Staff
Armored Blow 2,"If unit initiates combat, grants Def+4 during combat.",2,A,23,TRUE,defBlow,4,,,,,,,,,Any,Staff
Armored Blow 3,"If unit initiates combat, grants Def+6 during combat.",3,A,23,TRUE,defBlow,6,,,,,,,,,Any,Staff
Warding Blow 1,"If unit initiates combat, grants Res+2 during combat.",1,A,24,TRUE,resBlow,2,,,,,,,,,Any,Staff
Warding Blow 2,"If unit initiates combat, grants Res+4 during combat.",2,A,24,TRUE,resBlow,4,,,,,,,,,Any,Staff
Warding Blow 3,"If unit initiates combat, grants Res+6 during combat.",3,A,24,TRUE,resBlow,6,,,,,,,,,Any,Staff
Swift Sparrow 1,"If unit initiates combat, grants Atk/Spd+2 during combat. ",2,A,25,TRUE,atkBlow,2,spdBlow,2,,,,,,,Any,Staff
Swift Sparrow 2,"If unit initiates combat, grants Atk/Spd+4 during combat.",3,A,25,TRUE,atkBlow,4,spdBlow,4,,,,,,,Any,Staff
Sturdy Blow 1,"If unit initiates combat, grants Atk/Def+2 during combat. ",2,A,26,TRUE,atkBlow,2,defBlow,2,,,,,,,Any,Staff
Sturdy Blow 2,"If unit initiates combat, grants Atk/Def+4 during combat. ",3,A,26,TRUE,atkBlow,4,defBlow,4,,,,,,,Any,Staff
Mirror Strike 1,"If unit initiates combat, grants Atk/Res+2 during combat. ",2,A,27,TRUE,atkBlow,2,resBlow,2,,,,,,,Any,Staff
Mirror Strike 2,"If unit initiates combat, grants Atk/Res+4 during combat. ",3,A,27,TRUE,atkBlow,4,resBlow,4,,,,,,,Any,Staff
Steady Blow 1,"If unit initiates combat, grants Spd/Def+2 during combat.",2,A,28,TRUE,spdBlow,2,defBlow,2,,,,,,,Any,Staff
Steady Blow 2,"If unit initiates combat, grants Spd/Def+4 during combat.",3,A,28,TRUE,spdBlow,4,defBlow,4,,,,,,,Any,Staff
Swift Strike 1,"If unit initiates combat, grants Spd/Res+2 during combat.",2,A,29,TRUE,spdBlow,2,resBlow,2,,,,,,,Any,Staff
Swift Strike 2,"If unit initiates combat, grants Spd/Res+4 during combat.",3,A,29,TRUE,spdBlow,4,resBlow,4,,,,,,,Any,Staff
Bracing Blow 1,"If unit initiates combat, grants Def/Res+2 during combat.",2,A,30,TRUE,defBlow,2,resBlow,2,,,,,,,Any,Staff
Bracing Blow 2,"If unit initiates combat, grants Def/Res+4 during combat.",3,A,30,TRUE,defBlow,4,resBlow,4,,,,,,,Any,Staff
Fierce Stance 1,"If foe initiates combat, grants Atk+2 during combat.",1,A,31,FALSE,,,,,,,,,,,Any,Any
Fierce Stance 2,"If foe initiates combat, grants Atk+4 during combat.",2,A,31,FALSE,,,,,,,,,,,Any,Any
Fierce Stance 3,"If foe initiates combat, grants Atk+6 during combat.",3,A,31,FALSE,,,,,,,,,,,Any,Any
Darting Stance 1,"If foe initiates combat, grants Spd+2 during combat.",1,A,32,FALSE,,,,,,,,,,,Any,Any
Darting Stance 2,"If foe initiates combat, grants Spd+4 during combat.",2,A,32,FALSE,,,,,,,,,,,Any,Any
Darting Stance 3,"If foe initiates combat, grants Spd+6 during combat.",3,A,32,FALSE,,,,,,,,,,,Any,Any
Steady Stance 1,"If foe initiates combat, grants Def+2 during combat.",1,A,33,FALSE,,,,,,,,,,,Any,Any
Steady Stance 2,"If foe initiates combat, grants Def+4 during combat.",2,A,33,FALSE,,,,,,,,,,,Any,Any
Steady Stance 3,"If foe initiates combat, grants Def+6 during combat.",3,A,33,FALSE,,,,,,,,,,,Any,Any
Warding Stance 1,"If foe initiates combat, grants Res+2 during combat.",1,A,34,FALSE,,,,,,,,,,,Any,Any
Warding Stance 2,"If foe initiates combat, grants Res+4 during combat.",2,A,34,FALSE,,,,,,,,,,,Any,Any
Warding Stance 3,"If foe initiates combat, grants Res+6 during combat.",3,A,34,FALSE,,,,,,,,,,,Any,Any
Kestral Stance 1,"If foe initiates combat, grants Atk/Spd+2 during combat.",1,A,35,FALSE,,,,,,,,,,,Any,Any
Kestral Stance 2,"If foe initiates combat, grants Atk/Spd+4 during combat.",2,A,35,FALSE,,,,,,,,,,,Any,Any
Sturdy Stance 1,"If foe initiates combat, grants Atk/Def+2 during combat.",1,A,36,FALSE,,,,,,,,,,,Any,Any
Sturdy Stance 2,"If foe initiates combat, grants Atk/Def+4 during combat.",2,A,36,FALSE,,,,,,,,,,,Any,Any
Mirror Stance 1,Grants Atk/Res+2 during combat if foe initiates combat.,1,A,37,FALSE,,,,,,,,,,,Any,Any
Mirror Stance 2,Grants Atk/Res+4 during combat if foe initiates combat.,2,A,37,FALSE,,,,,,,,,,,Any,Any
Steady Posture 1,"If foe initiates combat, grants Spd/Def+2 during combat.",1,A,38,FALSE,,,,,,,,,,,Any,Any
Steady Posture 2,"If foe initiates combat, grants Spd/Def+4 during combat.",2,A,38,FALSE,,,,,,,,,,,Any,Any
Swift Stance 1,"If foe initiates combat, grants Spd/Res+2 during combat.",1,A,39,FALSE,,,,,,,,,,,Any,Any
Swift Stance 2,"If foe initiates combat, grants Spd/Res+4 during combat.",2,A,39,FALSE,,,,,,,,,,,Any,Any
Bracing Stance 1,"If foe initiates combat, grants Def/Res+2 during combat.",1,A,40,FALSE,,,,,,,,,,,Any,Any
Bracing Stance 2,"If foe initiates combat, grants Def/Res+4 during combat.",2,A,40,FALSE,,,,,,,,,,,Any,Any
Fierce Breath,"If foe initiates combat, grants Atk +4 during combat and Special cooldown charge +1 per attack. (Only highest value applies. Does not stack.)",1,A,41,FALSE,,,,,,,,,,,Any,Any
Darting Breath,"If foe initiates combat, grants Spd +4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack).",1,A,42,FALSE,,,,,,,,,,,Any,Any
Steady Breath,"If foe initiates combat, grants Def+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",1,A,43,FALSE,,,,,,,,,,,Any,Any
Warding Breath,"If foe initiates combat, grants Res+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",1,A,44,FALSE,,,,,,,,,,,Any,Any
Defiant Atk 1,Grants Atk+3 at start of turn if unit’s HP ≤ 50%,1,A,45,TRUE,defiantAtkSe,1,,,,,,,,,Any,Any
Defiant Atk 2,Grants Atk+5 at start of turn if unit’s HP ≤ 50%,2,A,45,TRUE,defiantAtkSe,2,,,,,,,,,Any,Any
Defiant Atk 3,Grants Atk+7 at start of turn if unit’s HP ≤ 50%,3,A,45,TRUE,defiantAtkSe,3,,,,,,,,,Any,Any
Defiant Spd 1,Grants Spd+3 at start of turn if unit’s HP ≤ 50%,1,A,46,TRUE,defiantSpdSe,1,,,,,,,,,Any,Any
Defiant Spd 2,Grants Spd+5 at start of turn if unit’s HP ≤ 50%,2,A,46,TRUE,defiantSpdSe,2,,,,,,,,,Any,Any
Defiant Spd 3,Grants Spd+7 at start of turn if unit’s HP ≤ 50%,3,A,46,TRUE,defiantSpdSe,3,,,,,,,,,Any,Any
Defiant Def 1,Grants Def+3 at start of turn if unit’s HP ≤ 50%,1,A,47,TRUE,defiantDefSe,1,,,,,,,,,Any,Any
Defiant Def 2,Grants Def+5 at start of turn if unit’s HP ≤ 50%,2,A,47,TRUE,defiantDefSe,2,,,,,,,,,Any,Any
Defiant Def 3,Grants Def+7 at start of turn if unit’s HP ≤ 50%,3,A,47,TRUE,defiantDefSe,3,,,,,,,,,Any,Any
Defiant Res 1,Grants Res+3 at start of turn if unit’s HP ≤ 50%,1,A,48,TRUE,defiantResSe,1,,,,,,,,,Any,Any
Defiant Res 2,Grants Res+5 at start of turn if unit’s HP ≤ 50%,2,A,48,TRUE,defiantResSe,2,,,,,,,,,Any,Any
Defiant Res 3,Grants Res+7 at start of turn if unit’s HP ≤ 50%,3,A,48,TRUE,defiantResSe,3,,,,,,,,,Any,Any
Brazen Atk/Spd 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+3 during combat.",1,A,49,FALSE,brazenAtk,3,brazenSpd,3,,,,,,,Any,Any
Brazen Atk/Spd 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+5 during combat.",2,A,49,FALSE,brazenAtk,5,brazenSpd,5,,,,,,,Any,Any
Brazen Atk/Spd 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+7 during combat.",3,A,49,FALSE,brazenAtk,7,brazenSpd,7,,,,,,,Any,Any
Brazen Atk/Def 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+3 during combat.",1,A,50,FALSE,brazenAtk,3,brazenDef,3,,,,,,,Any,Any
Brazen Atk/Def 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+5 during combat.",2,A,50,FALSE,brazenAtk,5,brazenDef,5,,,,,,,Any,Any
Brazen Atk/Def 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+7 during combat.",3,A,50,FALSE,brazenAtk,7,brazenDef,7,,,,,,,Any,Any
Brazen Atk/Res 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+3 during combat.",1,A,51,FALSE,brazenAtk,3,brazenRes,3,,,,,,,Any,Any
Brazen Atk/Res 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+5 during combat.",2,A,51,FALSE,brazenAtk,5,brazenRes,5,,,,,,,Any,Any
Brazen Atk/Res 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+7 during combat.",3,A,51,FALSE,brazenAtk,7,brazenRes,7,,,,,,,Any,Any
Brazen Spd/Def 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+3 during combat.",1,A,52,FALSE,brazenSpd,3,brazenDef,3,,,,,,,Any,Any
Brazen Spd/Def 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+5 during combat.",2,A,52,FALSE,brazenSpd,5,brazenDef,5,,,,,,,Any,Any
Brazen Spd/Def 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+7 during combat.",3,A,52,FALSE,brazenSpd,7,brazenDef,7,,,,,,,Any,Any
Brazen Spd/Res 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+3 during combat.",1,A,53,FALSE,brazenSpd,3,brazenRes,3,,,,,,,Any,Any
Brazen Spd/Res 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+5 during combat.",2,A,53,FALSE,brazenSpd,5,brazenRes,5,,,,,,,Any,Any
Brazen Spd/Res 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+7 during combat.",3,A,53,FALSE,brazenSpd,7,brazenRes,7,,,,,,,Any,Any
Brazen Def/Res 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+3 during combat.",1,A,54,FALSE,brazenDef,3,brazenRes,3,,,,,,,Any,Any
Brazen Def/Res 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+5 during combat.",2,A,54,FALSE,brazenDef,5,brazenRes,5,,,,,,,Any,Any
Brazen Def/Res 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+7 during combat.",3,A,54,FALSE,brazenDef,7,brazenRes,7,,,,,,,Any,Any
Close Def 1,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+2 during combat.",1,A,55,TRUE,closeDef,1,,,,,,,,,Any,Any
Close Def 2,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+4 during combat.",2,A,55,TRUE,closeDef,2,,,,,,,,,Any,Any
Close Def 3,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.",3,A,55,TRUE,closeDef,3,,,,,,,,,Any,Any
Distant Def 1,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+2 during combat.",1,A,56,TRUE,distDef,1,,,,,,,,,Any,Any
Distant Def 2,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+4 during combat.",2,A,56,TRUE,distDef,2,,,,,,,,,Any,Any
Distant Def 3,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+6 during combat.",3,A,56,TRUE,distDef,3,,,,,,,,,Any,Any
Iote's Shield,"Neutralizes ""effective against fliers"" bonuses.",1,A,57,TRUE,nullEffFly,0,,,,,,,,,Any,Any
Heavy Blade 1,"If unit's Atk ≥ foe's Atk+5, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",1,A,58,TRUE,heavyBladeSe,1,,,,,,,,,Any,Staff
Heavy Blade 2,"If unit's Atk ≥ foe's Atk+3, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",1,A,58,TRUE,heavyBladeSe,2,,,,,,,,,Any,Staff
Heavy Blade 3,"If unit's Atk > foe's Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",2,A,58,TRUE,heavyBladeSe,3,,,,,,,,,Any,Staff
Flashing Blade 1,"If unit's Spd ≥ foe's Spd+5, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",1,A,59,TRUE,flashingBladeSe,1,,,,,,,,,Cav-Fly,Staff
Flashing Blade 2,"If unit's Spd ≥ foe's Spd+3, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.) ",2,A,59,TRUE,flashingBladeSe,2,,,,,,,,,Cav-Fly,Staff
Flashing Blade 3,"If unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.) ",3,A,59,TRUE,flashingBladeSe,3,,,,,,,,,Cav-Fly,Staff
Fire Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+2 during combat.",1,A,60,TRUE,fireBoost,1,,,,,,,,,Any,Any
Fire Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+4 during combat.",2,A,60,TRUE,fireBoost,2,,,,,,,,,Any,Any
Fire Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+6 during combat.",3,A,60,TRUE,fireBoost,3,,,,,,,,,Any,Any
Wind Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+2 during combat.",1,A,61,TRUE,windBoost,1,,,,,,,,,Any,Any
Wind Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+4 during combat.",2,A,61,TRUE,windBoost,2,,,,,,,,,Any,Any
Wind Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+6 during combat.",3,A,61,TRUE,windBoost,3,,,,,,,,,Any,Any
Earth Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Def+2 during combat.",1,A,62,TRUE,earthBoost,1,,,,,,,,,Any,Any
Earth Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Def+4 during combat.",2,A,62,TRUE,earthBoost,2,,,,,,,,,Any,Any
Earth Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Def+6 during combat.",3,A,62,TRUE,earthBoost,3,,,,,,,,,Any,Any
Water Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+2 during combat.",1,A,63,TRUE,waterBoost,1,,,,,,,,,Any,Any
Water Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+4 during combat.",2,A,63,TRUE,waterBoost,2,,,,,,,,,Any,Any
Water Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+6 during combat.",3,A,63,TRUE,waterBoost,3,,,,,,,,,Any,Any
Atk/Spd Bond 1,"If unit is adjacent to an ally, grants Atk/Spd+3 during combat.",1,A,64,FALSE,,,,,,,,,,,Any,Any
Atk/Spd Bond 2,"If unit is adjacent to an ally, grants Atk/Spd+4 during combat.",2,A,64,FALSE,,,,,,,,,,,Any,Any
Atk/Spd Bond 3,"If unit is adjacent to an ally, grants Atk/Spd+5 during combat.",3,A,64,FALSE,,,,,,,,,,,Any,Any
Atk/Def Bond 1,"If unit is adjacent to an ally, grants Atk/Def+3 during combat.",1,A,65,FALSE,,,,,,,,,,,Any,Any
Atk/Def Bond 2,"If unit is adjacent to an ally, grants Atk/Def+4 during combat.",2,A,65,FALSE,,,,,,,,,,,Any,Any
Atk/Def Bond 3," If unit is adjacent to an ally, grants Atk/Def+5 during combat.",3,A,65,FALSE,,,,,,,,,,,Any,Any
Atk/Res Bond 1,Grants Atk/Res+3 to this unit during combat if unit is adjacent to an ally.,1,A,66,FALSE,,,,,,,,,,,Any,Any
Atk/Res Bond 2,Grants Atk/Res+4 to this unit during combat if unit is adjacent to an ally.,2,A,66,FALSE,,,,,,,,,,,Any,Any
Atk/Res Bond 3,Grants Atk/Res+5 to this unit during combat if unit is adjacent to an ally.,3,A,66,FALSE,,,,,,,,,,,Any,Any
Spd/Def Bond 1,Grants Spd/Def+3 to unit during combat if adjacent to an ally.,1,A,67,FALSE,,,,,,,,,,,Any,Any
Spd/Def Bond 2,Grants Spd/Def+4 to unit during combat if adjacent to an ally.,2,A,67,FALSE,,,,,,,,,,,Any,Any
Spd/Def Bond 3,Grants Spd/Def+5 to unit during combat if adjacent to an ally.,3,A,67,FALSE,,,,,,,,,,,Any,Any
Spd/Res Bond 1,Grants Spd/Res+3 to unit during combat if adjacent to an ally.,1,A,68,FALSE,,,,,,,,,,,Any,Any
Spd/Res Bond 2,Grants Spd/Res+4 to unit during combat if adjacent to an ally.,2,A,68,FALSE,,,,,,,,,,,Any,Any
Spd/Res Bond 3,Grants Spd/Res+5 to unit during combat if adjacent to an ally.,3,A,68,FALSE,,,,,,,,,,,Any,Any
Def/Res Bond 1,"If unit is adjacent to an ally, grants Def/Res+3 during combat.",1,A,69,FALSE,,,,,,,,,,,Any,Any
Def/Res Bond 2,"If unit is adjacent to an ally, grants Def/Res+4 during combat.",2,A,69,FALSE,,,,,,,,,,,Any,Any
Def/Res Bond 3,"If unit is adjacent to an ally, grants Def/Res+5 during combat.",3,A,69,FALSE,,,,,,,,,,,Any,Any
Atk/Spd Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Spd+3, but if unit attacked, deals 1 damage to unit after combat.",1,A,70,FALSE,,,,,,,,,,,Any,Any
Atk/Spd Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Spd+4, but if unit attacked, deals 1 damage to unit after combat.",2,A,70,FALSE,,,,,,,,,,,Any,Any
Atk/Spd Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Spd+5, but if unit attacked, deals 1 damage to unit after combat.",3,A,70,FALSE,,,,,,,,,,,Any,Any
Atk/Def Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Def+3, but if unit attacked, deals 1 damage to unit after combat.",1,A,71,FALSE,,,,,,,,,,,Any,Any
Atk/Def Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Def+4, but if unit attacked, deals 1 damage to unit after combat.",2,A,71,FALSE,,,,,,,,,,,Any,Any
Atk/Def Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Def+5, but if unit attacked, deals 1 damage to unit after combat.",3,A,71,FALSE,,,,,,,,,,,Any,Any
Atk/Res Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Res+3, but if unit attacked, deals 1 damage to unit after combat.",1,A,72,FALSE,,,,,,,,,,,Any,Any
Atk/Res Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Res+4, but if unit attacked, deals 1 damage to unit after combat.",2,A,72,FALSE,,,,,,,,,,,Any,Any
Atk/Res Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Res+5, but if unit attacked, deals 1 damage to unit after combat.",3,A,72,FALSE,,,,,,,,,,,Any,Any
Sorcery Blade 1,"At start of combat, if unit’s HP = 100% and unit is adjacent to a magic ally, calculates damage using the lower of foe’s Def or Res.",1,A,73,FALSE,,,,,,,,,,,Any,Any
Sorcery Blade 2,"At start of combat, if unit’s HP ≥ 50% and unit is adjacent to a magic ally, calculates damage using the lower of foe’s Def or Res.",2,A,73,FALSE,,,,,,,,,,,Any,Any
Sorcery Blade 3,"At start of combat, if unit is adjacent to a magic ally, calculates damage using the lower of foe’s Def or Res.",3,A,73,FALSE,,,,,,,,,,,Any,Any
Atk/Spd Solo 1,"If unit is not adjacent to an ally, grants Atk/Spd+2 during combat.",1,A,74,FALSE,,,,,,,,,,,Any,Any
