IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4,NameJP,DescJP,NameDE,DescDE,NameES,DescES,NameLS,DescLS,NameFR,DescFR,NameIT,DescIT,NameTC,DescTC,NamePT,DescPT
Wo Dao,Wo Dao,9,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wo Dao+,Wo Dao+,13,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wo Dao+Atk,Wo Dao+,16,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Wo Dao+Spd,Wo Dao+,14,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Wo Dao+Def,Wo Dao+,14,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Wo Dao+Res,Wo Dao+,14,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Zanbato,Zanbato,10,1,Effective against cavalry units.,Sword,effCav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanbato+,Zanbato+,14,1,Effective against cavalry units.,Sword,effCav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanbato+Eff,Zanbato+,14,1,"Effective against cavalry units. Neutralizes cavalry foes' bonuses (from skills like Fortify, Rally, etc.) during combat.",Sword,effCav,1,HPBoost,3,nullCavBonuses,0,,,,,,,,,,,,,,,,,,,,,,,,
Zanbato+Atk,Zanbato+,16,1,Effective against cavalry units.,Sword,effCav,1,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanbato+Spd,Zanbato+,14,1,Effective against cavalry units.,Sword,effCav,1,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Zanbato+Def,Zanbato+,14,1,Effective against cavalry units.,Sword,effCav,1,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Zanbato+Res,Zanbato+,14,1,Effective against cavalry units.,Sword,effCav,1,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Slaying Edge,Slaying Edge,10,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaying Edge+,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaying Edge+Atk,Slaying Edge+,16,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaying Edge+Spd,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Slaying Edge+Def,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Slaying Edge+Res,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Armorsmasher,Armorsmasher,10,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armorsmasher+,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armorsmasher+Eff,Armorsmasher+,14,1,"Effective against armored units. Neutralizes armored foes' bonuses (from skills like Fortify, Rally, etc.) during combat.",Sword,effArmor,0,HPBoost,3,nullArmBonuses,0,,,,,,,,,,,,,,,,,,,,,,,,
Armorsmasher+Atk,Armorsmasher+,16,1,Effective against armored units.,Sword,effArmor,0,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Armorsmasher+Spd,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Armorsmasher+Def,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Armorsmasher+Res,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Firesweep Sword,Firesweep Sword,11,1,Unit and foe cannot counterattack.,Sword,firesweep,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firesweep S+,Firesweep S+,15,1,Unit and foe cannot counterattack.,Sword,firesweep,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadomatsu,Kadomatsu,10,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadomatsu+,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadomatsu+Atk,Kadomatsu+,16,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,
Kadomatsu+Spd,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,
Kadomatsu+Def,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,
Kadomatsu+Res,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,
Safeguard,Safeguard,10,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safeguard+,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safeguard+Atk,Safeguard+,16,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,7,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Safeguard+Spd,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,7,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Safeguard+Def,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,7,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Safeguard+Res,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,7,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Barrier Blade,Barrier Blade,10,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrier Blade+,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrier Blade+Atk,Barrier Blade+,16,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,7,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrier Blade+Spd,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,7,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Barrier Blade+Def,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,7,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Barrier Blade+Res,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,7,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Geishun,Geishun,10,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtkW,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geishun+,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtkW,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geishun+Atk,Geishun+,16,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtkW,7,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Geishun+Spd,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtkW,7,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Geishun+Def,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtkW,7,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Geishun+Res,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtkW,7,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Heart's Blade,Heart's Blade,10,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart's Blade+,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart's Blade+Atk,Heart's Blade+,16,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart's Blade+Spd,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Heart's Blade+Def,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Heart's Blade+Res,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Cake Cutter,Cake Cutter,10,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,4,spdBlow,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Cake Cutter+,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,4,spdBlow,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Cake Cutter+Atk,Cake Cutter+,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,4,spdBlow,4,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,
Cake Cutter+Spd,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,4,spdBlow,4,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,
Cake Cutter+Def,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,4,spdBlow,4,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,
Cake Cutter+Res,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,4,spdBlow,4,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,
Sandfort Spade,Sandfort Spade,10,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonus,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandfort Spade+,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonusDef,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandfort Spade+Atk,Sandfort Spade+,16,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonusDef,4,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandfort Spade+Spd,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonusDef,4,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Sandfort Spade+Def,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonusDef,4,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Sandfort Spade+Res,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonusDef,4,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Petal Parasol,Petal Parasol,10,1,"If [Penalty] is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petal Parasol+,Petal Parasol+,14,1,"If [Penalty] is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petal Parasol+Atk,Petal Parasol+,16,1,"If [Penalty] is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Petal Parasol+Spd,Petal Parasol+,14,1,"If [Penalty] is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Petal Parasol+Def,Petal Parasol+,14,1,"If [Penalty] is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Petal Parasol+Res,Petal Parasol+,14,1,"If [Penalty] is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Guard Sword,Guard Sword,10,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,uncondGuard,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guard Sword+,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,uncondGuard,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guard Sword+Atk,Guard Sword+,16,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,uncondGuard,0,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Guard Sword+Spd,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,uncondGuard,0,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Guard Sword+Def,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,uncondGuard,0,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Guard Sword+Res,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,uncondGuard,0,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Bellringer,Bellringer,10,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,allHitHeal,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellringer+,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,allHitHeal,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellringer+Atk,Bellringer+,16,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,allHitHeal,5,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellringer+Spd,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,allHitHeal,5,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Bellringer+Def,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,allHitHeal,5,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Bellringer+Res,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,allHitHeal,5,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Melee Bouquet,Melee Bouquet,10,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,4,defBlow,4,impactDenialW,0,,,,,,,,,,,,,,,,,,,,,,,,
Melee Bouquet+,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,4,defBlow,4,impactDenialW,0,,,,,,,,,,,,,,,,,,,,,,,,
Melee Bouquet+Atk,Melee Bouquet+,16,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,4,defBlow,4,impactDenialW,0,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,
Melee Bouquet+Spd,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,4,defBlow,4,impactDenialW,0,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,
Melee Bouquet+Def,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,4,defBlow,4,impactDenialW,0,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,
Melee Bouquet+Res,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,4,defBlow,4,impactDenialW,0,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,
Carrot Cudgel,Carrot Cudgel,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cudgel+,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cudgel+Atk,Carrot Cudgel+,16,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cudgel+Spd,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cudgel+Def,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cudgel+Res,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Pledged Blade,Pledged Blade,10,1,"If [Bonus] is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,spiritedBoost,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pledged Blade+,Pledged Blade+,14,1,"If [Bonus] is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,spiritedBoost,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pledged Blade+Atk,Pledged Blade+,16,1,"If [Bonus] is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,spiritedBoost,4,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Pledged Blade+Spd,Pledged Blade+,14,1,"If [Bonus] is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,spiritedBoost,4,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Pledged Blade+Def,Pledged Blade+,14,1,"If [Bonus] is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,spiritedBoost,4,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Pledged Blade+Res,Pledged Blade+,14,1,"If [Bonus] is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,spiritedBoost,4,HPBoost,5,resBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
Ninja Katana,Ninja Katana,6,1,"Grants Spd+4. Inflicts Def/Res-4. If unit initiates combat, unit attacks twice.",Sword,spdBoost,4,defBoost,-4,resBoost,-4,BraveAW,0,,,,,,,,,,,,,,,,,,,,,,
Ninja Katana+,Ninja Katana+,9,1,"Grants Spd+4. Inflicts Def/Res-4. If unit initiates combat, unit attacks twice.",Sword,spdBoost,4,defBoost,-4,resBoost,-4,BraveAW,0,,,,,,,,,,,,,,,,,,,,,,
Unbound Blade,Unbound Blade,10,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unbound,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbound Blade+,Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unbound,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbound Blade+Atk,Unbound Blade+,16,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unbound,5,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbound Blade+Spd,Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unbound,5,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,,,,,
Unbound Blade+Def,Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unbound,5,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,,,,,
