Name,Description,Range,Type,Effect1,Level1,Effect2,Level2,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3
Ice Lock,Ice Lock,1,Rally,heal,8,,,Staff,,
Ice Lock+,Ice Lock+,1,Rally,heal,-50,,,Staff,,
Rally Attack,Grants Atk+4 to target ally for 1 turn.,1,Rally,rallyAtk,4,,,,,
Rally Speed,Grants Spd+4 to target ally for 1 turn.,1,Rally,rallySpd,4,,,,,
Rally Defense,Grants Def+4 to target ally for 1 turn.,1,Rally,rallyDef,4,,,,,
Rally Resistance,Grants Res+4 to target ally for 1 turn.,1,Rally,rallyRes,4,,,,,
Rally Atk/Spd,Grants Atk/Spd+3 to target ally for 1 turn.,1,Rally,rallyAtk,3,rallySpd,3,,,
Rally Atk/Spd+,Grants Atk/Spd+6 to target ally for 1 turn.,1,Rally,rallyAtk,6,rallySpd,6,,,
Rally Atk/Def,Grants Atk/Def+3 to target ally for 1 turn.,1,Rally,rallyAtk,3,rallyDef,3,,,
Rally Atk/Def+,Grants Atk/Def+6 to target ally for 1 turn.,1,Rally,rallyAtk,6,rallyDef,6,,,
Rally Atk/Res,Grants Atk/Res+3 to target ally for 1 turn.,1,Rally,rallyAtk,3,rallyRes,3,,,
Rally Atk/Res+,Grants Atk/Res+6 to target ally for 1 turn.,1,Rally,rallyAtk,6,rallyRes,6,,,
Rally Spd/Def,Grants Spd/Def+3 to target ally for 1 turn.,1,Rally,rallySpd,3,rallyDef,3,,,
Rally Spd/Def+,Grants Spd/Def+6 to target ally for 1 turn.,1,Rally,rallySpd,6,rallyDef,6,,,
Rally Spd/Res,Grants Spd/Res+3 to target ally for 1 turn.,1,Rally,rallySpd,3,rallyRes,3,,,
Rally Spd/Res+,Grants Spd/Res+6 to target ally for 1 turn.,1,Rally,rallySpd,6,rallyRes,6,,,
Rally Def/Res,Grants Def/Res+3 to target ally for 1 turn.,1,Rally,rallyDef,3,rallyRes,3,,,
Rally Def/Res+,Grants Def/Res+6 to target ally for 1 turn.,1,Rally,rallyDef,6,rallyRes,6,,,
Rally Up Atk,Grants Atk+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpAtk,3,,,,,
Rally Up Atk+,Grants Atk+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpAtk,6,,,,,
Rally Up Spd,Grants Spd+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpSpd,3,,,,,
Rally Up Spd+,Grants Spd+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpSpd,6,,,,,
Rally Up Def,Grants Def+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpDef,3,,,,,
Rally Up Def+,Grants Def+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpDef,6,,,,,
Rally Up Res,Grants Res+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpRes,3,,,,,
Rally Up Res+,Grants Res+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,1,Rally,rallyUpRes,6,,,,,
Draw Back,Unit moves 1 space away from target ally. Ally moves to unit's previous space.,1,Move,draw,1,,,,,
Reposition,Target ally moves to opposite side of unit.,1,Move,repo,1,,,,,
Swap,Unit and target ally swap spaces.,1,Move,swap,1,,,,,
Pivot,Unit moves to opposite side of target ally.,1,Move,pivot,1,,,,,
Shove,Pushes target ally 1 space away.,1,Move,shove,1,,,,,
Smite,Pushes target ally 2 spaces away.,1,Move,smite,1,,,,,
Dance,Grants another action to target ally. (Cannot target an ally with Sing or Dance.),1,Refresh,refresh,1,,,Dancers,,
Sing,Grants another action to target ally. (Cannot target an ally with Sing or Dance.),1,Refresh,refresh,2,,,Singers,,
Play,Grants another action to target ally. (That turn only. Does not stack. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.),1,Refresh,refresh,3,,,Nils,H!Nils,FF!Nils
Harsh Command,Converts penalties on target into bonuses.,1,Other,harsh_comm,1,,,,,
Harsh Command+,"Neutralizes target ally's penalties (from skills like Panic, Threaten, etc.) and negative status effects (preventing counterattacks, restricting movement, etc.) that last through ally's next action. Converts any penalties on target ally into bonuses.",1,Other,harsh_comm_plus,1,,,,,
Ardent Sacrifice,Restores 10 HP to target ally. Unit loses 10 HP but cannot go below 1.,1,Other,ardent_sac,0,,,,,
Reciprocal Aid,Unit and target ally swap HP. (Neither can go above their max HP.),1,Other,rec_aid,0,,,,,
Gold Serpent,,1,Rally,,,,,Heiðr,,
Foul Play,Unit and target ally swap spaces. Range = 3.,3,Move,,,,,Yuri,L!Yuri,
Gray Waves,,1,Refresh,refresh,0,azuraMove,1,L!Azura,DE!Azura,
Gray Waves II,,1,Refresh,refresh,0,azuraMoveNP,1,L!Azura,,
Changing Waters,,1,Refresh,refresh,0,,,L!Azura,,
Sacrifice,Converts penalties on target into bonuses. Restores HP to target = unit's current HP-1. Reduces unit's HP by amount restored.,1,Other,sacrifice,0,,,Micaiah,B!Micaiah,BR!Micaiah
Maiden's Solace,,1,Other,,,,,L!Micaiah,SU!Micaiah,X!Micaiah
Gentle Dream,"Grants another action to target ally. Grants Atk/Spd/Def/Res+3 and the following status to target ally and allies in cardinal directions of unit and target (excluding unit): ""Unit can move to a space adjacent to any ally within 2 spaces."" (That turn only. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",1,Refresh,refresh,0,peonyRefresh,0,Peony,NY!Peony,
Gentle Dream+,"Grants another action to target ally. Grants Atk/Spd/Def/Res+4 and the following statuses to target ally and allies in cardinal directions of unit and target (excluding unit): ""unit can move to a space adjacent to any ally within 2 spaces"" and ""neutralizes penalties on unit during combat."" (That turn only. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",1,Refresh,refresh,0,peonyRefreshII,0,Peony,,
Tender Dream,,1,Refresh,refresh,0,,,X!Peony,,
Whimsical Dream,Grants another action to target ally. Grants Atk+5 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn. Inflicts Atk-5 on nearest foes within 4 spaces of target ally and any foe within 2 spaces of those foes through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.),1,Refresh,refresh,0,mirabilisRefresh,0,Mirabilis,WI!Mirabilis,
Whimsical Dream+,"Grants another action to target ally. Grants Atk+6 and ""neutralizes foe's bonuses during combat"" to target ally and allies within 2 spaces of target ally (excluding unit) for 1 turn. Inflicts Atk-6 on nearest foes within 5 spaces of target ally and any foe within 2 spaces of those foes through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",1,Refresh,refresh,0,mirabilisRefreshII,1,Mirabilis,,
Spring's Dream,,1,Refresh,refresh,0,,,SP!Mirabilis,,
Sweet Dreams,Grants another action to target ally and grants Atk/Spd/Def/Res+3 to target ally for 1 turn. Inflicts Atk/Spd/Def/Res-4 on nearest foes within 4 spaces of target ally through foes' next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.),1,Refresh,refresh,0,plumeriaRefresh,0,Plumeria,NY!Plumeria,
Sweet Dreams+,"Grants another action to target ally and grants Atk/Spd/Def/Res+5, ""if unit initiates combat, unit makes a guaranteed follow-up attack,"" and  [Hexblade] to target ally for 1 turn. Inflicts Atk/Spd/Def/Res-5 on nearest foes within 5 spaces of target ally through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",1,Refresh,refresh,0,plumeriaRefreshII,0,Plumeria,,
Frightful Dream,Grants another action to target ally. Inflicts Atk/Spd/Def/Res-3 and [Guard] on foes in cardinal directions of unit and target through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.),1,Refresh,refresh,0,triandraRefresh,0,Triandra,SP!Triandra,
Frightful Dream+,"Grants another action to target ally. Inflicts Atk/Spd/Def/Res-5, [Guard], and [Discord] on foes in cardinal directions of unit and target ally through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",1,Refresh,refresh,0,triandraRefreshII,0,Triandra,,
Harrowing Dream,,1,Refresh,refresh,0,,,X!Triandra,,
Cloying Dreams,,1,Refresh,refresh,0,,,A!Plumeria,,
Future Vision,Unit and target ally swap spaces. Grants another action to unit. (Additional action granted once per turn only.),1,Move,swap,1,selfAssistRefresh,0,L!Lucina,V!Lucina,
Future Vision II,Unit and target ally swap spaces. Inflicts Atk/Def-7 on nearest foes within 4 spaces of both unit and target through their next actions. Grants another action to unit. (Additional action granted once per turn only.),1,Move,swap,1,lucinaRefresh,0,L!Lucina,,
Future Sight,,1,Move,swap,1,,,R!Lucina,,
Future Focus,,1,Move,swap,1,,,NI!Lucina,,
To Change Fate!,,1,Move,repo,0,chromRefresh,0,L!Chrom,V!Chrom,
To Change Fate! II,,1,Move,repo,0,chromRefreshII,0,L!Chrom,,
A Fate Changed!,,1,Move,repo,0,,,B!Chrom,,
Fate Unchanged…,,1,Move,repo,0,i could… kill you...,0,FA!Chrom,,
Call to Flame,,1,Refresh,refresh,0,,,FA!Ninian,,
Dragon's Dance,,1,Refresh,refresh,0,,,L!Ninian,,
