Name,Description,Letter,Tier,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,RestrictedMovement,RestrictedWeapons,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3
Defiant Spd 2,Grants Spd+5 at start of turn if unit’s HP ≤ 50%,A,2,defiantSpd,2,,,,,,,,,Any,Any,,,
Defiant Spd 3,Grants Spd+7 at start of turn if unit’s HP ≤ 50%,A,3,defiantSpd,3,,,,,,,,,Any,Any,,,
Defiant Def 1,Grants Def+3 at start of turn if unit’s HP ≤ 50%,A,1,defiantDef,1,,,,,,,,,Any,Any,,,
Defiant Def 2,Grants Def+5 at start of turn if unit’s HP ≤ 50%,A,2,defiantDef,2,,,,,,,,,Any,Any,,,
Defiant Def 3,Grants Def+7 at start of turn if unit’s HP ≤ 50%,A,3,defiantDef,3,,,,,,,,,Any,Any,,,
Defiant Res 1,Grants Res+3 at start of turn if unit’s HP ≤ 50%,A,1,defiantRes,1,,,,,,,,,Any,Any,,,
Defiant Res 2,Grants Res+5 at start of turn if unit’s HP ≤ 50%,A,2,defiantRes,2,,,,,,,,,Any,Any,,,
Defiant Res 3,Grants Res+7 at start of turn if unit’s HP ≤ 50%,A,3,defiantRes,3,,,,,,,,,Any,Any,,,
Svalinn Shield,"Neutralizes ""effective against armored"" bonuses.",A,1,nullEffArm,0,,,,,,,,,Inf-Cav-Fly,Any,,,
Grani's Shield,"Neutralizes ""effective against cavalry"" bonuses.",A,1,nullEffCav,0,,,,,,,,,Inf-Armor-Fly,Any,,,
Iote's Shield,"Neutralizes ""effective against fliers"" bonuses.",A,1,nullEffFly,0,,,,,,,,,Inf-Armor-Cav,Any,,,
Triangle Adept 1,"If unit has weapon-triangle advantage, boosts Atk by 10%. If unit has weapon-triangle disadvantage, reduces Atk by 10%.",A,1,triAdept,1,,,,,,,,,Any,Colorless,,,
Triangle Adept 2,"If unit has weapon-triangle advantage, boosts Atk by 15%. If unit has weapon-triangle disadvantage, reduces Atk by 15%.",A,2,triAdept,2,,,,,,,,,Any,Colorless,,,
Triangle Adept 3,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",A,3,triAdept,3,,,,,,,,,Any,Colorless,,,
Close Counter,Enables unit to counterattack regardless of distance to attacker. ,A,1,cCounter,0,,,,,,,,,Any,Melee,,,
Distant Counter,Enables unit to counterattack regardless of distance to attacker.,A,1,dCounter,0,,,,,,,,,Any,Ranged,,,
Brash Assault 1,,B,1,brashAssault,1,,,,,,,,,Any,Any,,,
Brash Assault 2,,B,2,brashAssault,2,,,,,,,,,Any,Any,,,
Brash Assault 3,,B,3,brashAssault,3,,,,,,,,,Any,Any,,,
Vantage 1,,B,1,vantage,1,,,,,,,,,Any,Any,,,
Vantage 2,,B,2,vantage,2,,,,,,,,,Any,Any,,,
Vantage 3,,B,3,vantage,3,,,,,,,,,Any,Any,,,
Quick Riposte 1,,B,1,QRS,1,,,,,,,,,Any,Any,,,
Quick Riposte 2,,B,2,QRS,2,,,,,,,,,Any,Any,,,
Quick Riposte 3,,B,3,QRS,3,,,,,,,,,Any,Any,,,
Desperation 1,,B,1,desperationSk,1,,,,,,,,,Any,Any,,,
Desperation 2,,B,2,desperationSk,2,,,,,,,,,Any,Any,,,
Desperation 3,,B,3,desperationSk,3,,,,,,,,,Any,Any,,,
Wary Fighter 1,,B,1,wary_fighter,1,,,,,,,,,Inf-Cav-Fly,Any,,,
Wary Fighter 2,,B,2,wary_fighter,2,,,,,,,,,Inf-Cav-Fly,Any,,,
Wary Fighter 3,,B,3,wary_fighter,3,,,,,,,,,Inf-Cav-Fly,Any,,,
Seal Atk 1,Inflicts Atk-3 on foe through its next action after combat.,B,1,sealAtk,3,,,,,,,,,Any,Staff,,,
Seal Atk 2,Inflicts Atk-5 on foe through its next action after combat.,B,2,sealAtk,5,,,,,,,,,Any,Staff,,,
Seal Atk 3,Inflicts Atk-7 on foe through its next action after combat.,B,3,sealAtk,7,,,,,,,,,Any,Staff,,,
Seal Spd 1,,B,1,sealSpd,3,,,,,,,,,Any,Staff,,,
Seal Spd 2,,B,2,sealSpd,5,,,,,,,,,Any,Staff,,,
Seal Spd 3,,B,3,sealSpd,7,,,,,,,,,Any,Staff,,,
Seal Def 1,,B,1,sealDef,3,,,,,,,,,Any,Staff,,,
Seal Def 2,,B,2,sealDef,5,,,,,,,,,Any,Staff,,,
Seal Def 3,,B,3,sealDef,7,,,,,,,,,Any,Staff,,,
Seal Res 1,,B,1,sealRes,3,,,,,,,,,Any,Staff,,,
Seal Res 2,,B,2,sealRes,5,,,,,,,,,Any,Staff,,,
Seal Res 3,,B,3,sealRes,7,,,,,,,,,Any,Staff,,,
Swordbreaker 1,,B,1,swordBreak,1,,,,,,,,,Any,Green,,,
Swordbreaker 2,,B,2,swordBreak,2,,,,,,,,,Any,Green,,,
Swordbreaker 3,,B,3,swordBreak,3,,,,,,,,,Any,Green,,,
Lancebreaker 1,,B,1,lanceBreak,1,,,,,,,,,Any,Red,,,
Lancebreaker 2,,B,2,lanceBreak,2,,,,,,,,,Any,Red,,,
Lancebreaker 3,,B,3,lanceBreak,3,,,,,,,,,Any,Red,,,
Axebreaker 1,,B,1,axeBreak,1,,,,,,,,,Any,Blue,,,
Axebreaker 2,,B,2,axeBreak,2,,,,,,,,,Any,Blue,,,
Axebreaker 3,,B,3,axeBreak,3,,,,,,,,,Any,Blue,,,
R Tomebreaker 1,,B,1,rtomeBreak,1,,,,,,,,,Any,Green,,,
R Tomebreaker 2,,B,2,rtomeBreak,2,,,,,,,,,Any,Green,,,
R Tomebreaker 3,,B,3,rtomeBreak,3,,,,,,,,,Any,Green,,,
B Tomebreaker 1,,B,1,btomeBreak,1,,,,,,,,,Any,Red,,,
B Tomebreaker 2,,B,2,btomeBreak,2,,,,,,,,,Any,Red,,,
B Tomebreaker 3,,B,3,btomeBreak,3,,,,,,,,,Any,Red,,,
G Tomebreaker 1,"If unit's HP ≥ 90% in combat against a green tome foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",B,1,gtomeBreak,1,,,,,,,,,Any,Blue,,,
G Tomebreaker 2,"If unit's HP ≥ 80% in combat against a green tome foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",B,2,gtomeBreak,2,,,,,,,,,Any,Blue,,,
G Tomebreaker 3,"If unit's HP ≥ 70% in combat against a green tome foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",B,3,gtomeBreak,3,,,,,,,,,Any,Blue,,,
Bowbreaker 1,,B,1,cBowBreak,1,,,,,,,,,Fly,Any,,,
Bowbreaker 2,,B,2,cBowBreak,2,,,,,,,,,Fly,Any,,,
Bowbreaker 3,,B,3,cBowBreak,3,,,,,,,,,Fly,Any,,,
Daggerbreaker 1,,B,1,cDaggerBreak,1,,,,,,,,,Any,Any,,,
Daggerbreaker 2,,B,2,cDaggerBreak,2,,,,,,,,,Any,Any,,,
Daggerbreaker 3,,B,3,cDaggerBreak,3,,,,,,,,,Any,Any,,,
Pass 1,,B,1,passSk,1,,,,,,,,,Any,Any,,,
Pass 2,,B,2,passSk,2,,,,,,,,,Any,Any,,,
Pass 3,,B,3,passSk,3,,,,,,,,,Any,Any,,,
Obstruct 1,,B,1,obstruct,1,,,,,,,,,Any,Any,,,
Obstruct 2,,B,2,obstruct,2,,,,,,,,,Any,Any,,,
Obstruct 3,,B,3,obstruct,3,,,,,,,,,Any,Any,,,
Lunge,"If unit initiates combat, unit and target foe swap spaces after combat.",B,1,lunge,0,,,,,,,,,Any,Ranged,,,
Knock Back,"If unit initiates combat, target foe moves 1 space away after combat.",B,1,knock_back,0,,,,,,,,,Any,Ranged,,,
Drag Back,"If unit initiates combat, unit moves 1 space away after combat. Target foe moves to unit's previous space.",B,1,drag_back,0,,,,,,,,,Any,Ranged,,,
Hit and Run,"If unit initiates combat, unit moves 1 space away after combat.",B,1,hit_and_run,0,,,,,,,,,Any,Ranged,,,
Escape Route 1,,B,1,escRoute,1,,,,,,,,,Any,Any,,,
Escape Route 2,,B,2,escRoute,2,,,,,,,,,Any,Any,,,
Escape Route 3,,B,3,escRoute,3,,,,,,,,,Any,Any,,,
Wings of Mercy 1,,B,1,wingsOfMercy,1,,,,,,,,,Any,Any,,,
Wings of Mercy 2,,B,2,wingsOfMercy,2,,,,,,,,,Any,Any,,,
Wings of Mercy 3,,B,3,wingsOfMercy,3,,,,,,,,,Any,Any,,,
Renewal 1,"At the start of every fourth turn, restores 10 HP.",B,1,recoverSk,1,,,,,,,,,Any,Any,,,
Renewal 2,"At the start of every third turn, restores 10 HP.",B,2,recoverSk,2,,,,,,,,,Any,Any,,,
Renewal 3,"At start of odd-numbered turns, restores 10 HP.",B,3,recoverSk,3,,,,,,,,,Any,Any,,,
Poison Strike 1,,B,1,poisonStrike,4,,,,,,,,,Any,Staff,,,
Poison Strike 2,,B,2,poisonStrike,7,,,,,,,,,Any,Staff,,,
Poison Strike 3,,B,3,poisonStrike,10,,,,,,,,,Any,Staff,,,
Live to Serve 1,,B,1,live_to_serve,1,,,,,,,,,Any,NotStaff,,,
Live to Serve 2,,B,2,live_to_serve,2,,,,,,,,,Any,NotStaff,,,
Live to Serve 3,,B,3,live_to_serve,3,,,,,,,,,Any,NotStaff,,,
Hone Atk 1,,C,1,honeAtk,2,,,,,,,,,Any,Any,,,
Hone Atk 2,,C,2,honeAtk,3,,,,,,,,,Any,Any,,,
Hone Atk 3,,C,3,honeAtk,4,,,,,,,,,Any,Any,,,
Hone Spd 1,,C,1,honeSpd,2,,,,,,,,,Any,Any,,,
Hone Spd 2,,C,2,honeSpd,3,,,,,,,,,Any,Any,,,
Hone Spd 3,,C,3,honeSpd,4,,,,,,,,,Any,Any,,,
Fortify Def 1,,C,1,fortifyDef,2,,,,,,,,,Any,Any,,,
Fortify Def 2,,C,2,fortifyDef,3,,,,,,,,,Any,Any,,,
Fortify Def 3,,C,3,fortifyDef,4,,,,,,,,,Any,Any,,,
Fortify Res 1,,C,1,fortifyRes,2,,,,,,,,,Any,Any,,,
Fortify Res 2,,C,2,fortifyRes,3,,,,,,,,,Any,Any,,,
Fortify Res 3,,C,3,fortifyRes,4,,,,,,,,,Any,Any,,,
Hone Cavalry,,C,3,honecav,6,,,,,,,,,Inf-Fly-Armor,Any,,,
Fortify Cavalry,,C,3,forticav,6,,,,,,,,,Inf-Fly-Armor,Any,,,
Hone Fliers,,C,3,honefly,6,,,,,,,,,Inf-Cav-Armor,Any,,,
Fortify Fliers,,C,3,fortifly,6,,,,,,,,,Inf-Cav-Armor,Any,,,
Hone Armor,,C,3,honearmor,6,,,,,,,,,Inf-Cav-Fly,Any,,,
Fortify Armor,,C,3,fortiarmor,6,,,,,,,,,Inf-Cav-Fly,Any,,,
Spur Atk 1,,C,1,spurAtk,2,,,,,,,,,Any,Any,,,
Spur Atk 2,,C,2,spurAtk,3,,,,,,,,,Any,Any,,,
Spur Atk 3,,C,3,spurAtk,4,,,,,,,,,Any,Any,,,
Spur Spd 1,,C,1,spurspd,2,,,,,,,,,Any,Any,,,
Spur Spd 2,,C,2,spurspd,3,,,,,,,,,Any,Any,,,
Spur Spd 3,,C,3,spurspd,4,,,,,,,,,Any,Any,,,
Spur Def 1,,C,1,spurDef,2,,,,,,,,,Any,Any,,,
Spur Def 2,,C,2,spurDef,3,,,,,,,,,Any,Any,,,
Spur Def 3,,C,3,spurDef,4,,,,,,,,,Any,Any,,,
Spur Res 1,,C,1,spurRes,2,,,,,,,,,Any,Any,,,
Spur Res 2,,C,2,spurRes,3,,,,,,,,,Any,Any,,,
Spur Res 3,,C,3,spurRes,4,,,,,,,,,Any,Any,,,
Goad Cavalry,,C,3,goadCav,4,,,,,,,,,Inf-Fly-Armor,Any,,,
Ward Cavalry,,C,3,wardCav,4,,,,,,,,,Inf-Fly-Armor,Any,,,
Goad Fliers,,C,3,goadFly,4,,,,,,,,,Inf-Cav-Armor,Any,,,
Ward Fliers,,C,3,wardFly,4,,,,,,,,,Inf-Cav-Armor,Any,,,
Goad Armor,,C,3,goadArmor,4,,,,,,,,,Inf-Cav-Fly,Any,,,
Ward Armor,,C,3,wardArmor,4,,,,,,,,,Inf-Cav-Fly,Any,,,
Threaten Atk 1,,C,1,threatenAtk,3,,,,,,,,,Any,Any,,,
Threaten Atk 2,,C,2,threatenAtk,4,,,,,,,,,Any,Any,,,
Threaten Atk 3,,C,3,threatenAtk,5,,,,,,,,,Any,Any,,,
Threaten Spd 1,,C,1,threatenSpd,3,,,,,,,,,Any,Any,,,
Threaten Spd 2,,C,2,threatenSpd,4,,,,,,,,,Any,Any,,,
Threaten Spd 3,,C,3,threatenSpd,5,,,,,,,,,Any,Any,,,
Threaten Def 1,,C,1,threatenDef,3,,,,,,,,,Any,Any,,,
Threaten Def 2,,C,2,threatenDef,4,,,,,,,,,Any,Any,,,
Threaten Def 3,,C,3,threatenDef,5,,,,,,,,,Any,Any,,,
Threaten Res 1,,C,1,threatenRes,3,,,,,,,,,Any,Any,,,
Threaten Res 2,,C,2,threatenRes,4,,,,,,,,,Any,Any,,,
Threaten Res 3,,C,3,threatenRes,5,,,,,,,,,Any,Any,,,
Savage Blow 1,,C,1,savageBlow,3,,,,,,,,,Any,Any,,,
Savage Blow 2,,C,2,savageBlow,5,,,,,,,,,Any,Any,,,
Savage Blow 3,,C,3,savageBlow,7,,,,,,,,,Any,Any,,,
Breath of Life 1,,C,1,breath_of_life,3,,,,,,,,,Any,Any,,,
Breath of Life 2,,C,2,breath_of_life,5,,,,,,,,,Any,Any,,,
Breath of Life 3,,C,3,breath_of_life,7,,,,,,,,,Any,Any,,,
