IntName,Name,Epithet,HP,Atk,Spd,Def,Res,Movement,Weapon Type,Game,Secondary Game,HP Grow,Atk Grow,Spd Grow,Def Grow,Res Grow,DFlowerLimit,BVID,HeroType,HasResp,RefreshType
Alm,Alm,Hero of Prophecy,45,33,30,28,22,0,Sword,15,-1,55,55,55,50,40,30,205,HERO,TRUE,0
B!Alm,Alm,Imperial Ascent,42,38,35,37,20,0,Sword,15,-1,55,70,60,60,35,25,109,HERO,FALSE,0
V!Alm,Alm,Lovebird Duo,40,35,40,32,25,0,Axe,15,-1,50,55,70,60,45,25,157,HERO,FALSE,0
L!Alm,Alm,Saint-King,40,37,37,26,22,0,CBow,15,-1,50,60,60,50,45,25,169,LEGEND,FALSE,0
Altena,Altena,Luminous Rider,45,37,25,39,20,2,Lance,4,-1,60,65,45,70,30,25,189,HERO,FALSE,0
Altina,Altina,Dawn's Trueblade,42,38,20,30,36,2,Sword,10,-1,55,70,40,45,60,25,20,MYTHIC,FALSE,0
WI!Altina,Altina,Cross-Time Duo,42,40,18,37,39,0,Sword,10,-1,55,70,35,60,65,20,64,HERO,FALSE,0
DE!Altina,Altina,Unrivaled Dawn,42,47,16,42,46,0,Axe,10,-1,50,90,30,70,75,5,129,HERO,FALSE,0
Amelia,Amelia,Rose of the War,47,34,34,35,23,3,Axe,8,-1,65,65,60,60,45,25,175,HERO,TRUE,0
FA!Anankos,Anankos,Seething Silence,42,43,44,36,31,3,BDragon,14,-1,55,75,70,60,55,10,76,HERO,FALSE,0
Anna,Anna,Commander,41,29,38,22,28,0,Axe,0,-1,50,50,65,40,50,30,255,HERO,FALSE,0
BR!Anna,Anna,Secret Charmer,38,43,46,22,25,1,GBow,13,-1,50,70,80,40,50,10,93,HERO,FALSE,0
P!Anna,Anna,Secret Seller,38,35,40,28,31,0,Lance,13,-1,45,60,70,50,55,25,43,HERO,FALSE,0
NY!Anna,Anna,Wealth-Wisher,40,34,40,16,37,0,RBow,0,-1,50,60,70,30,65,25,65,HERO,FALSE,0
H!E!Anna,Anna,Twice the Anna,40,44,47,31,27,2,Axe,17,-1,50,70,90,50,50,5,215,,FALSE,0
Annand,Annand,Knight-Defender,37,35,39,27,34,2,Sword,4,-1,45,60,65,50,60,20,40,HERO,FALSE,0
WI!Annette,Annette,Festive Helper,43,43,23,40,41,3,CBow,16,-1,55,70,45,65,75,10,179,HERO,FALSE,0
Annette,Annette,Overachiever,40,39,36,28,30,0,Axe,16,-1,50,70,60,50,50,25,90,HERO,FALSE,0
Arden,Arden,Strong and Tough,60,36,16,41,16,3,Sword,4,-1,80,60,30,65,30,25,241,HERO,FALSE,0
Ares,Ares,Black Knight,40,36,30,33,18,1,Sword,4,-1,50,65,50,60,30,25,231,HERO,FALSE,0
Arete,Arete,Requiem's Beauty,41,36,27,20,34,1,RTome,14,-1,50,65,50,35,60,20,118,HERO,FALSE,0
Arion,Arion,Gungnir's Heir,41,45,36,46,21,2,Lance,4,-1,55,80,55,90,30,5,133,HERO,FALSE,0
Arlen,Arlen,Mage of Khadein,41,42,45,38,17,0,CTome,1,-1,50,75,75,70,30,5,206,HERO,FALSE,0
G!Arthur,Arthur,Furious Mage,40,42,41,30,18,0,GTome,4,-1,50,70,70,55,35,15,239,HERO,FALSE,0
F!Arthur,Arthur,Hapless Hero,43,32,29,30,24,0,Axe,14,-1,55,55,50,50,45,25,208,HERO,FALSE,0
WI!Artur,Artur,Silver Saint,43,41,19,35,41,3,GTome,8,-1,55,70,35,60,70,15,164,HERO,FALSE,0
Arval,Arval,Cycle Keeper,40,44,27,23,43,0,CTome,16,-1,50,75,50,45,70,10,245,MYTHIC,FALSE,0
Arvis,Arvis,Emperor of Flame,33,34,31,17,33,0,RTome,4,-1,35,60,55,30,60,30,125,HERO,FALSE,0
Asbel,Asbel,Windswept Youth,40,36,42,21,26,0,GTome,5,-1,50,65,70,40,45,20,191,HERO,FALSE,0
NY!Ash,Ash,Earnest Greetings,41,44,19,44,40,0,BBeast,0,-1,50,70,35,75,75,10,96,HERO,FALSE,0
Ash,Ash,Retainer to Askr,41,39,27,41,34,0,CBeast,0,-1,50,70,50,70,55,15,158,MYTHIC,FALSE,0
SP!Ashe,Ashe,Budding Chivalry,40,43,46,32,17,2,RDagger,16,-1,50,70,80,65,30,10,51,HERO,FALSE,0
SU!Ashe,Ashe,Fabled Sea Knight,40,37,41,32,18,1,Lance,16,-1,50,65,70,60,30,20,213,HERO,FALSE,0
Ashera,Ashera,Order Goddess,37,35,39,15,40,0,CTome,10,-1,50,50,70,25,75,20,23,MYTHIC,FALSE,0
Ashnard,Ashnard,Mad King,43,37,21,35,31,2,Sword,9,-1,60,65,35,60,50,25,81,HERO,FALSE,0
Askr,Askr,God of Openness,40,43,26,43,31,0,CBeast,0,-1,50,75,50,70,50,15,86,MYTHIC,FALSE,0
NY!Askr,Askr,Renewed Gods,40,42,16,42,37,0,CTome,0,-1,50,75,30,70,65,10,122,DUO,FALSE,0
Astram,Astram,Midia's Hero,44,35,36,36,21,0,Sword,1,-1,60,55,60,65,40,25,15,HERO,FALSE,0
Astrid,Astrid,Resolute Damsel,38,39,41,27,23,1,GBow,9,-1,50,70,70,50,40,15,200,HERO,FALSE,0
Athena,Athena,Borderland Sword,36,31,38,27,24,0,Sword,12,-1,45,55,65,45,45,30,146,HERO,FALSE,0
Atlas,Atlas,Forest Muscle,46,43,37,34,27,0,Axe,15,-1,60,75,65,70,55,15,172,HERO,FALSE,0
August,August,Astute Tactician,40,40,17,32,43,0,Staff,5,-1,50,70,30,55,75,15,217,HERO,FALSE,0
Aversa,Aversa,Dark One,42,33,34,17,24,2,RTome,13,-1,55,60,60,30,40,25,188,HERO,TRUE,0
Ayra,Ayra,Astra's Wielder,41,33,37,31,21,0,Sword,4,-1,50,60,60,55,40,30,143,HERO,TRUE,0
T!Ayra,Ayra,Together in Tea,40,44,46,32,17,1,Sword,4,-1,50,70,80,65,30,10,231,,FALSE,0
Azama,Azama,Carefree Monk,43,21,26,32,25,0,Staff,14,-1,55,40,45,55,45,30,149,HERO,TRUE,0
Azelle,Azelle,Youthful Flame,41,37,39,26,23,0,RTome,4,-1,50,65,65,50,40,20,233,HERO,FALSE,0
NY!Azura,Azura,Celebratory Spirit,37,30,35,22,26,2,Axe,14,-1,50,55,60,40,50,25,102,HERO,FALSE,Sing
DE!Azura,Azura,Hatari Duet,37,37,39,16,23,1,GTome,14,-1,50,70,70,30,45,15,171,ATTU,FALSE,Sing
DA!Azura,Azura,Lady of Ballads,35,32,34,20,28,0,Axe,14,-1,45,60,60,40,50,30,255,HERO,FALSE,Sing
Azura,Azura,Lady of the Lake,36,31,33,21,28,0,Lance,14,-1,45,60,60,40,50,25,83,HERO,TRUE,Sing
L!Azura,Azura,Vallite Songstress,33,30,35,17,24,2,BTome,14,-1,45,55,65,30,45,25,47,LEGEND,FALSE,Sing
P!Azura,Azura,Young Songstress,36,33,29,17,25,0,GTome,14,-1,50,60,55,30,45,30,32,HERO,FALSE,Sing
X!Azura,Azura,Song's Reflection,38,45,46,18,28,1,Axe,14,-1,50,75,90,35,50,5,21,HERO,FALSE,Sing
Balthus,Balthus,King of Grappling,47,42,24,37,31,0,Axe,16,-1,65,70,45,60,55,15,183,HERO,FALSE,0
Bantu,Bantu,Tiki's Guardian,45,34,28,35,26,0,RDragon,3,-1,65,55,50,60,45,25,169,HERO,FALSE,0
Barst,Barst,The Hatchet,46,33,32,30,17,0,Axe,1,-1,60,55,55,55,30,25,48,HERO,FALSE,0
SP!Bartre,Bartre,Earsome Warrior,46,40,26,35,25,0,Sword,6,-1,60,70,50,55,45,25,23,HERO,FALSE,0
Bartre,Bartre,Fearless Warrior,49,36,25,33,13,0,Axe,6,-1,65,60,45,60,25,25,133,HERO,FALSE,0
Basilio,Basilio,Feroxi West-Khan,48,43,33,36,21,0,Axe,13,-1,65,70,60,60,40,15,184,HERO,FALSE,0
Bastian,Bastian,Crimea's Keystone,40,44,28,20,45,0,GTome,10,-1,50,75,55,40,70,10,157,HERO,FALSE,0
Benny,Benny,Sensitive Soul,48,35,23,44,34,3,Lance,14,-1,65,60,40,70,60,20,51,HERO,FALSE,0
DA!Berkut,Berkut,Debonair Noble,41,36,23,37,24,0,Lance,15,-1,55,65,40,70,45,25,200,HERO,FALSE,0
Berkut,Berkut,Prideful Prince,43,34,22,31,24,1,Lance,15,-1,55,60,40,55,40,25,155,HERO,FALSE,0
FA!Berkut,Berkut,Purgatorial Prince,40,35,17,35,30,1,Lance,15,-1,50,70,30,55,50,25,162,HERO,FALSE,0
Bernadetta,Bernadetta,Eternal Loner,38,32,38,22,26,1,CBow,16,-1,50,55,70,40,45,25,119,HERO,FALSE,0
WI!Bernadetta,Bernadetta,Frosty Shut-In,39,36,40,19,23,1,GTome,16,-1,50,65,70,35,40,20,80,HERO,FALSE,0
SP!Bernadetta,Bernadetta,Late Hibernator,39,43,47,20,25,1,BBow,16,-1,50,70,90,30,50,10,201,HERO,FALSE,0
Bertram,Bertram,Dread Cavalier,45,37,27,38,26,1,Sword,9,-1,60,65,50,65,45,15,2,HERO,FALSE,0
Beruka,Beruka,Quiet Assassin,46,29,23,37,22,2,Axe,14,-1,60,50,40,65,40,25,207,HERO,FALSE,0
Black Knight,Black Knight,Sinister General,48,34,34,35,18,3,Sword,9,-1,60,55,60,60,30,25,159,HERO,TRUE,0
WI!Black Knight,Black Knight,The Night's Blade,43,44,44,35,30,3,Axe,9,-1,55,75,70,60,55,10,248,HERO,FALSE,0
Boey,Boey,Skillful Survivor,43,29,27,32,18,0,GTome,15,-1,55,50,50,55,30,30,220,HERO,FALSE,0
CH!Boyd,Boyd,Future Great,50,43,36,31,21,0,Axe,9,-1,70,70,60,55,40,15,241,HERO,FALSE,0
Brady,Brady,Daunting Priest,41,33,32,23,28,0,Staff,13,-1,50,55,55,45,50,25,140,HERO,FALSE,0
Bramimond,Bramimond,The Enigma,39,40,27,21,35,0,CTome,7,-1,50,70,50,35,60,25,136,MYTHIC,FALSE,0
Brigand Boss,Brigand Boss,Known Criminal,45,42,35,35,24,0,Axe,15,-1,60,70,60,60,45,15,110,HERO,FALSE,0
PI!Brigid,Brigid,Orgahil Pirate,41,37,40,30,19,0,RBow,4,-1,50,65,70,55,35,25,155,HERO,FALSE,0
Brunnya,Brunnya,Devoted General,42,35,31,21,33,0,BTome,6,-1,55,60,55,40,55,25,203,HERO,FALSE,0
SP!Bruno,Bruno,Masked Hare,41,30,24,35,14,1,Staff,0,-1,55,50,45,60,25,25,189,HERO,FALSE,0
WI!Bruno,Bruno,Masked Reveler,43,41,38,29,34,3,GTome,0,-1,55,70,60,50,65,10,4,HERO,FALSE,0
SU!F!Byleth,Byleth,Fell Star's Duo,40,36,42,16,21,2,RTome,16,-1,50,65,70,30,40,25,238,DUO,FALSE,0
DE!M!Byleth,Byleth,Fount of Learning,40,42,44,25,26,0,BTome,16,-1,50,70,70,50,50,10,47,HERO,FALSE,0
F!Byleth,Byleth,Proven Professor,40,34,40,33,21,0,Sword,16,-1,50,55,70,60,40,25,222,HERO,FALSE,0
B!F!Byleth,Byleth,Sublime Light,39,41,43,26,24,2,CTome,16,-1,50,70,75,50,40,10,126,HERO,FALSE,0
M!Byleth,Byleth,Tested Professor,40,36,38,34,20,0,Sword,16,-1,50,55,70,60,40,25,45,HERO,FALSE,0
FA!F!Byleth,Byleth,Vengeance Vessel,40,44,47,32,25,0,Sword,16,-1,50,75,90,55,35,10,229,HERO,FALSE,0
L!F!Byleth,Byleth,The Fódlan Light,40,39,43,23,26,0,BTome,16,-1,50,70,75,45,40,15,186,LEGEND,FALSE,0
L!M!Byleth,Byleth,The Fódlan Star,40,39,41,25,21,0,GTome,16,-1,50,70,70,50,30,20,137,LEGEND,FALSE,0
WI!M!Byleth,Byleth,Frosty Professors,47,46,18,45,46,3,Sword,16,-1,55,90,30,75,75,5,253,DUO,FALSE,0
Caeda,Caeda,Beloved Queen,36,25,37,24,34,2,Sword,1,-1,45,45,65,45,55,25,211,HERO,TRUE,0
CH!Caeda,Caeda,Princess of Talys,36,33,42,25,30,2,Sword,1,-1,45,60,70,45,50,25,160,HERO,FALSE,0
SU!Caeda,Caeda,Sea-Blossom Pair,39,33,42,26,28,1,Axe,1,-1,50,60,70,45,50,20,43,,FALSE,0
BR!Caeda,Caeda,Talys's Bride,33,29,37,19,30,0,BTome,1,-1,40,50,65,35,50,30,69,HERO,FALSE,0
L!Caeda,Caeda,Talys's Heart,39,38,43,27,31,2,Lance,1,-1,50,65,70,50,55,15,175,LEGEND,FALSE,0
X!Caeda,Caeda,Marth's Faithful,40,42,47,30,34,0,Lance,1,-1,50,70,90,50,55,5,149,ATTU,FALSE,0
Caeldori,Caeldori,Perfect Angel,39,40,44,30,31,2,Lance,14,-1,50,70,75,50,55,10,234,HERO,FALSE,0
Caellach,Caellach,Tiger Eye,45,40,27,31,33,0,Axe,8,-1,60,70,45,55,55,20,183,HERO,FALSE,0
Cain,Cain,The Bull,42,32,32,27,21,1,Sword,1,-1,55,55,60,45,35,25,226,HERO,FALSE,0
Caineghis,Caineghis,Gallia's Lion King,47,37,23,37,30,3,CBeast,10,-1,55,65,45,60,50,25,35,HERO,FALSE,0
Camilla,Camilla,Bewitching Beauty,37,30,32,28,31,2,Axe,14,-1,45,50,55,50,55,25,211,HERO,TRUE,0
P!Camilla,Camilla,Flower of Fantasy,36,37,30,17,30,2,RTome,14,-1,45,65,50,30,55,25,53,HERO,FALSE,0
NY!Camilla,Camilla,Holiday Traveler,40,33,35,31,23,2,Sword,14,-1,50,55,60,55,45,25,230,HERO,FALSE,0
B!Camilla,Camilla,Light of Nohr,39,33,37,21,25,2,Staff,14,-1,50,55,65,40,45,25,115,HERO,FALSE,0
NI!Camilla,Camilla,Midnight Bloom,38,43,19,32,40,2,RTome,14,-1,50,70,35,60,70,10,229,HERO,FALSE,0
SP!Camilla,Camilla,Spring Princess,39,35,25,30,19,2,GTome,14,-1,50,60,45,50,35,25,165,HERO,FALSE,0
HS!Camilla,Camilla,Steamy Secrets,38,33,35,17,28,2,CDagger,14,-1,50,55,60,30,50,25,197,HERO,FALSE,0
SU!Camilla,Camilla,Tropical Beauty,39,33,36,23,19,2,BTome,14,-1,50,60,60,40,35,25,71,HERO,FALSE,0
L!Camilla,Camilla,Alluring Darkness,40,45,46,22,25,2,GTome,14,-1,50,70,80,45,50,5,175,LEGEND,FALSE,0
Camus,Camus,Sable Knight,42,32,33,31,17,1,Lance,1,-1,55,55,55,55,30,25,207,HERO,FALSE,0
Canas,Canas,Wisdom Seeker,36,32,29,21,33,0,RTome,7,-1,45,50,55,40,55,30,142,HERO,FALSE,0
Candace,Candace,Sly Snatcher,38,45,36,25,44,0,CBow,14,-1,50,70,65,50,75,5,177,HERO,FALSE,0
SU!Caspar,Caspar,Summer Intensity,46,41,36,30,23,0,Axe,16,-1,60,70,60,50,45,20,52,HERO,FALSE,0
Castor,Castor,Loving Son,45,46,39,33,24,0,RBow,1,-1,60,90,70,55,35,5,226,HERO,FALSE,0
Cath,Cath,Master Thief,39,37,43,21,22,0,GDagger,6,-1,50,70,70,40,40,15,233,HERO,FALSE,0
TH!Cath,Cath,Caper Captain,41,36,43,27,30,1,BTome,6,-1,50,70,70,50,50,15,234,HERO,FALSE,0
Catherine,Catherine,Thunder Knight,43,39,41,30,23,0,Sword,16,-1,55,70,70,50,40,20,133,HERO,FALSE,0
Catria,Catria,Middle Whitewing,39,31,34,29,25,2,Lance,1,-1,50,55,55,50,45,25,83,HERO,FALSE,0
P!Catria,Catria,Mild Middle Sister,41,38,36,27,24,2,Sword,15,-1,55,70,60,45,40,25,134,HERO,FALSE,0
SP!Catria,Catria,Spring Whitewing,36,32,35,18,23,1,BTome,1,-1,45,60,60,30,40,25,37,HERO,FALSE,0
BR!Catria,Catria,Azure Wing Pair,40,40,41,28,23,2,Axe,15,-1,50,70,70,50,40,20,158,,FALSE,0
FF!Catria,Catria,Windswept Knight,39,45,45,25,30,2,BBow,1,-1,50,80,70,50,55,5,242,HERO,FALSE,0
BR!Cecilia,Cecilia,Etrurian Bride,40,41,25,18,38,1,RTome,6,-1,50,70,45,35,70,15,208,HERO,FALSE,0
Cecilia,Cecilia,Etrurian General,36,32,25,22,29,1,GTome,6,-1,45,55,45,40,50,25,94,HERO,TRUE,0
WI!Cecilia,Cecilia,Festive Instructor,41,35,23,30,36,3,CDagger,6,-1,50,55,40,55,60,25,183,HERO,FALSE,0
Ced,Ced,Hero on the Wind,37,35,39,19,31,0,GTome,4,-1,45,65,65,35,55,25,132,HERO,FALSE,0
A!Ced,Ced,Sage of the Wind,43,45,46,22,26,0,GTome,4,5,55,70,80,45,50,5,192,ASC,FALSE,0
Celica,Celica,Caring Princess,39,32,33,22,22,0,RTome,15,-1,50,55,60,40,35,30,240,HERO,TRUE,0
FA!Celica,Celica,Imprisoned Soul,40,35,35,27,26,0,Sword,15,-1,50,60,60,50,45,30,183,HERO,FALSE,0
L!Celica,Celica,Queen of Valentia,40,38,38,18,28,0,GTome,15,-1,50,65,70,30,50,25,76,LEGEND,FALSE,0
A!Celica,Celica,Valentia's Hope,40,43,42,21,25,0,CTome,15,-1,50,75,70,40,45,15,44,ASC,FALSE,0
B!Celica,Celica,Warrior Priestess,38,33,39,29,24,0,Sword,15,-1,50,60,65,50,40,30,16,HERO,TRUE,0
Céline,Céline,Joyous Royal,37,41,44,17,38,0,GTome,17,-1,50,70,75,30,65,10,205,HERO,FALSE,0
Cervantes,Cervantes,Invincible General,50,45,31,44,25,3,Lance,13,-1,70,75,60,70,40,10,72,HERO,FALSE,0
Chad,Chad,Lycian Wildcat,45,30,37,26,23,0,CDagger,6,-1,60,55,65,45,40,25,205,HERO,FALSE,0
BR!Charlotte,Charlotte,Money Maiden,46,36,32,24,19,0,Lance,14,-1,60,60,55,45,35,30,222,HERO,FALSE,0
Charlotte,Charlotte,Wily Warrior,48,43,41,25,18,0,Axe,14,-1,70,70,70,40,35,20,172,HERO,FALSE,0
NI!Cherche,Cherche,Shaded by Wings,43,44,20,44,32,2,Axe,13,-1,55,70,40,75,60,10,181,HERO,FALSE,0
Cherche,Cherche,Wyvern Friend,46,38,25,32,16,2,Axe,13,-1,60,65,45,55,30,25,227,HERO,FALSE,0
Chloé,Chloé,Fairy-Tale Flier,36,38,40,28,42,2,Lance,17,-1,50,75,55,50,70,10,228,HERO,FALSE,0
SP!Chloé,Chloé,Spring Wings,40,43,47,22,26,2,RTome,17,-1,50,75,90,40,40,5,252,,FALSE,0
L!Chrom,Chrom,Crowned Exalt,41,42,26,34,25,0,BBow,13,-1,55,75,45,50,50,25,184,0,FALSE,0
Chrom,Chrom,Exalted Prince,47,37,25,31,17,0,Sword,13,-1,60,65,45,55,30,25,220,0,TRUE,0
V!Chrom,Chrom,Fate-Defying Duo,40,44,27,40,26,0,RBow,13,-1,50,70,50,70,50,15,236,0,FALSE,0
B!Chrom,Chrom,Fated Honor,41,42,42,37,17,0,Lance,13,-1,50,70,70,75,30,10,124,0,FALSE,0
WI!Chrom,Chrom,Gifted Leader,51,40,19,35,29,3,Axe,13,-1,60,65,35,60,55,25,53,0,FALSE,0
P!Chrom,Chrom,Knight Exalt,41,37,28,34,17,1,Sword,13,-1,50,65,50,60,30,25,14,0,FALSE,0
SP!Chrom,Chrom,Spring Exalt,43,35,32,28,20,0,Axe,13,-1,55,60,55,50,35,30,174,0,FALSE,0
FA!Chrom,Chrom,Fell Exalt,41,45,46,29,18,1,Sword,13,-1,55,70,80,55,35,10,95,0,FALSE,0
Citrinne,Citrinne,Caring Noble,38,46,27,22,44,0,GTome,17,-1,50,70,50,45,75,10,127,0,FALSE,0
Clair,Clair,Highborn Flier,37,26,36,24,33,2,Lance,15,-1,45,45,65,45,55,25,157,0,FALSE,0
Clarine,Clarine,Refined Noble,35,25,33,22,29,1,Staff,6,-1,45,45,55,40,50,25,235,0,FALSE,0
Clarisse,Clarisse,Sniper in the Dark,37,31,34,25,20,0,CBow,12,-1,45,55,60,45,35,30,169,0,FALSE,0
Claude,Claude,The Schemer,39,33,37,20,21,1,CBow,16,-1,50,60,60,35,40,25,193,0,FALSE,0
B!Claude,Claude,Almyra's King,42,36,40,23,25,2,CBow,16,-1,55,65,70,40,45,20,97,0,FALSE,0
L!Claude,Claude,King of Unification,41,37,41,23,24,2,CBow,16,-1,55,65,70,40,45,20,93,0,FALSE,0
SU!Claude,Claude,Tropical Trouble,41,38,42,25,26,2,BDagger,16,-1,55,65,70,45,50,15,117,0,FALSE,0
FF!Claude,Claude,Golden Breeze,42,44,47,24,26,2,GDagger,16,-1,55,70,90,40,50,5,96,0,FALSE,0
WI!Claude,Claude,Yuletide Schemer,41,43,46,32,34,3,CBow,16,-1,50,70,90,50,60,5,-1,0,FALSE,0
Clive,Clive,Idealistic Knight,45,33,25,32,19,1,Lance,15,-1,60,55,45,55,35,25,208,0,FALSE,0
Colm,Colm,Capable Thief,43,36,41,24,32,0,BDagger,8,-1,55,65,70,45,55,15,45,0,FALSE,0
Conrad,Conrad,Masked Knight,40,31,22,34,35,1,Lance,15,-1,50,55,40,60,60,25,243,0,FALSE,0
V!Conrad,Conrad,Unmasked Knight,39,32,23,33,35,1,Sword,15,-1,50,55,40,60,60,25,233,0,FALSE,0
Constance,Constance,Fallen Noble,39,42,40,17,29,2,RTome,16,-1,50,70,70,30,55,15,220,0,FALSE,0
SU!Cordelia,Cordelia,Knight Paradise,41,32,38,28,18,1,Lance,13,-1,55,55,65,50,30,25,193,0,FALSE,0
Cordelia,Cordelia,Knight Paragon,40,35,35,22,25,2,Lance,13,-1,50,60,60,40,45,25,77,0,TRUE,0
BR!Cordelia,Cordelia,Perfect Bride,36,35,35,19,22,0,CBow,13,-1,45,60,60,35,40,30,255,0,FALSE,0
WI!Cordelia,Cordelia,Unyielding Snow,40,44,43,33,23,2,Lance,13,-1,50,70,75,60,45,10,165,0,FALSE,0
Cormag,Cormag,Aloof Lanceman,42,36,32,34,23,2,Lance,8,-1,55,60,60,50,45,25,243,0,FALSE,0
Cornelia,Cornelia,Saint Consumed,42,46,23,26,40,0,Staff,16,-1,55,80,35,50,70,10,87,0,FALSE,0
M!Corrin,Corrin,Fateful Prince,42,32,32,28,24,0,Sword,14,-1,50,55,55,50,45,30,198,0,TRUE,0
NY!M!Corrin,Corrin,Enjoying Tradition,37,32,30,34,18,0,CBow,14,-1,45,55,50,65,30,30,153,0,FALSE,0
P!M!Corrin,Corrin,Dream Prince,42,35,35,31,24,0,BDragon,14,-1,60,65,65,60,45,30,40,0,FALSE,0
FA!M!Corrin,Corrin,Bloodbound Beast,42,38,38,33,26,0,BDragon,14,-1,55,70,70,65,50,25,42,0,FALSE,0
NI!M!Corrin,Corrin,Daylight Ninja Act,41,40,38,35,28,0,Lance,14,-1,50,70,65,60,50,15,152,0,FALSE,0
H!M!Corrin,Corrin,Celestial Sorcerer,44,44,21,44,39,0,GDragon,14,-1,60,80,40,85,70,10,130,0,FALSE,0
L!M!Corrin,Corrin,Child of Dawn,40,40,46,27,46,0,GDragon,14,-1,50,75,90,50,80,5,-1,0,FALSE,0
F!Corrin,Corrin,Fateful Princess,41,27,34,34,21,0,BDragon,14,-1,50,45,65,60,35,30,2,0,TRUE,0
SU!F!Corrin,Corrin,Novice Vacationer,34,31,34,22,26,2,BTome,14,-1,40,55,60,40,45,25,182,0,FALSE,0
P!F!Corrin,Corrin,Dream Princess,41,31,37,32,27,0,GDragon,14,-1,60,55,70,60,50,30,100,0,FALSE,0
FA!F!Corrin,Corrin,Wailing Soul,43,35,37,31,27,0,CDragon,14,-1,65,65,70,55,50,25,102,0,FALSE,0
L!F!Corrin,Corrin,Child of Dusk,41,38,40,34,29,0,CDragon,14,-1,60,70,75,60,50,20,158,0,FALSE,0
NI!F!Corrin,Corrin,Nightfall Ninja Act,38,41,40,23,20,1,GTome,14,-1,50,70,70,45,35,15,210,0,FALSE,0
H!F!Corrin,Corrin,Starry Seer,40,42,45,36,30,0,BDragon,14,-1,55,70,75,75,60,10,254,0,FALSE,0
B!F!Corrin,Corrin,Silent Bloodline,42,40,46,37,40,3,CDragon,14,-1,65,70,80,70,70,5,162,0,FALSE,0
Cynthia,Cynthia,Hero Chaser,38,32,37,27,29,2,Lance,13,-1,50,55,60,50,50,25,163,0,FALSE,0
Cyril,Cyril,Rhea's Attendant,46,42,44,35,26,0,RBow,16,-1,65,75,80,70,50,5,156,0,FALSE,0
Dagr,Dagr,Sun's Radiance,41,39,41,30,25,0,Axe,0,-1,50,70,70,50,45,20,60,0,FALSE,0
NY!Dagr,Dagr,New Year Jötnar,40,41,42,27,22,2,GBow,0,-1,50,70,70,50,45,15,224,0,FALSE,0
FF!Dagr,Dagr,Bluster Princess,41,45,46,30,22,1,Sword,0,-1,55,80,70,55,45,5,111,0,FALSE,0
PI!Darros,Darros,Seawalker,46,36,32,37,21,0,Axe,1,-1,60,60,60,65,35,25,7,0,FALSE,0
Death Knight,Death Knight,The Reaper,40,35,25,30,27,1,Lance,16,-1,50,60,45,50,50,25,114,0,FALSE,0
Dedue,Dedue,Dimitri's Vassal,50,45,17,45,28,3,Axe,16,-1,70,75,30,75,45,20,81,0,FALSE,0
DE!Deen,Deen,Bladed Sandstorm,43,36,39,27,23,1,CDagger,15,-1,55,65,70,50,40,15,113,0,FALSE,0
L!Deirdre,Deirdre,Fated Saint,40,43,32,19,43,0,BTome,4,-1,50,70,60,35,75,10,250,0,FALSE,0
Deirdre,Deirdre,Lady of the Forest,36,33,28,16,35,0,GTome,4,-1,45,55,50,30,60,30,30,0,TRUE,0
Delthea,Delthea,Free Spirit,33,36,34,13,31,0,BTome,15,-1,40,60,60,25,55,30,206,0,TRUE,0
